bc_id	bc_description	bc_type	bc_multiplier	lowerbound	lowerbound_perunit_penalty	upperbound	upperbound_perunit_penalty	parameter_index	static_identifiers	dynamic_identifiers	original_dynamic_identifiers	
30	G BdftHarv 9 - time period 9	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 G;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 9	NoIdentifier	NoIdentifier	
31	G BdftHarv 10 - time period 10	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 G;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 10	NoIdentifier	NoIdentifier	
32	G BdftHarv 11 - time period 11	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 G;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 11	NoIdentifier	NoIdentifier	
33	G BdftHarv 12 - time period 12	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 G;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 12	NoIdentifier	NoIdentifier	
34	G BdftHarv 13 - time period 13	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 G;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 13	NoIdentifier	NoIdentifier	
35	G BdftHarv 14 - time period 14	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 G;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 14	NoIdentifier	NoIdentifier	
36	G BdftHarv 15 - time period 15	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 G;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 15	NoIdentifier	NoIdentifier	
37	G BdftHarv 16 - time period 16	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 G;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 16	NoIdentifier	NoIdentifier	
38	G BdftHarv 17 - time period 17	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 G;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 17	NoIdentifier	NoIdentifier	
39	G BdftHarv 18 - time period 18	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 G;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 18	NoIdentifier	NoIdentifier	
40	G BdftHarv 19 - time period 19	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 G;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 19	NoIdentifier	NoIdentifier	
41	G BdftHarv 20 - time period 20	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 G;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 20	NoIdentifier	NoIdentifier	
42	C BdftHarv 1 - time period 1	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 C;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1	NoIdentifier	NoIdentifier	
43	C BdftHarv 2 - time period 2	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 C;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 2	NoIdentifier	NoIdentifier	
44	C BdftHarv 3 - time period 3	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 C;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 3	NoIdentifier	NoIdentifier	
45	C BdftHarv 4 - time period 4	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 C;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 4	NoIdentifier	NoIdentifier	
46	C BdftHarv 5 - time period 5	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 C;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 5	NoIdentifier	NoIdentifier	
47	C BdftHarv 6 - time period 6	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 C;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 6	NoIdentifier	NoIdentifier	
48	C BdftHarv 7 - time period 7	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 C;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 7	NoIdentifier	NoIdentifier	
49	C BdftHarv 8 - time period 8	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 C;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 8	NoIdentifier	NoIdentifier	
50	C BdftHarv 9 - time period 9	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 C;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 9	NoIdentifier	NoIdentifier	
51	C BdftHarv 10 - time period 10	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 C;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 10	NoIdentifier	NoIdentifier	
52	C BdftHarv 11 - time period 11	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 C;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 11	NoIdentifier	NoIdentifier	
53	C BdftHarv 12 - time period 12	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 C;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 12	NoIdentifier	NoIdentifier	
54	C BdftHarv 13 - time period 13	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 C;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 13	NoIdentifier	NoIdentifier	
55	C BdftHarv 14 - time period 14	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 C;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 14	NoIdentifier	NoIdentifier	
56	C BdftHarv 15 - time period 15	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 C;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 15	NoIdentifier	NoIdentifier	
57	C BdftHarv 16 - time period 16	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 C;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 16	NoIdentifier	NoIdentifier	
58	C BdftHarv 17 - time period 17	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 C;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 17	NoIdentifier	NoIdentifier	
59	C BdftHarv 18 - time period 18	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 C;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 18	NoIdentifier	NoIdentifier	
60	C BdftHarv 19 - time period 19	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 C;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 19	NoIdentifier	NoIdentifier	
61	C BdftHarv 20 - time period 20	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 C;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 20	NoIdentifier	NoIdentifier	
62	AvgInv SU cuft 10-19	FREE	0.1	null	null	null	null	19 	0 B A;1 N;2 G C;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 10 11 12 13 14 15 16 17 18 19	NoIdentifier	NoIdentifier	
63	cuft SU Per 20	FREE	1.0	null	null	null	null	19 	0 B A;1 N;2 G C;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 20	NoIdentifier	NoIdentifier	
64	msf 1 - time period 1	HARD	1.0	54500.0	null	null	null	NoParameter	0 B A;1 N;2 G l C s;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1	62 msf	62 bb bs cs-bb ct ct-bb ct-ub gp-ct-ub msf na no-action pct plant sc-bb ss ub	
