condition_id	condition_description	static_identifiers	MS_E_percentage	BS_E_percentage	model_condition	
110	layer5 T | layer6 Q	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 T;5 Q	null	0.0	true	
111	layer5 T | layer6 R	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 T;5 R	null	0.0	true	
112	layer5 T | layer6 S	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 T;5 S	null	0.0	true	
113	layer5 V | layer6 F	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 V;5 F	null	0.0	true	
114	layer5 V | layer6 G	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 V;5 G	null	0.0	true	
115	layer5 V | layer6 H	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 V;5 H	null	0.0	true	
116	layer5 V | layer6 I	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 V;5 I	null	0.0	true	
117	layer5 V | layer6 J	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 V;5 J	null	0.0	true	
118	layer5 V | layer6 K	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 V;5 K	null	0.0	true	
119	layer5 V | layer6 L	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 V;5 L	null	0.0	true	
120	layer5 V | layer6 M	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 V;5 M	null	0.0	true	
121	layer5 V | layer6 N	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 V;5 N	null	0.0	true	
122	layer5 V | layer6 O	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 V;5 O	null	0.0	true	
123	layer5 V | layer6 P	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 V;5 P	null	0.0	true	
124	layer5 V | layer6 Q	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 V;5 Q	null	0.0	true	
125	layer5 V | layer6 R	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 V;5 R	null	0.0	true	
126	layer5 V | layer6 S	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 V;5 S	null	0.0	true	
127	layer5 W | layer6 F	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 W;5 F	null	0.0	true	
128	layer5 W | layer6 G	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 W;5 G	null	0.0	true	
129	layer5 W | layer6 H	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 W;5 H	null	29.0	true	
130	layer5 W | layer6 I	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 W;5 I	null	29.0	true	
