Index	Name	Value	Reduced Cost
1335	xMS_C,N,N,R,A,L,0,4	37.11	0.0
1336	xMS_C,N,N,R,A,L,0,5	37.11	0.0
1357	xMS_C,N,O,L,A,L,0,1	2.91	0.0
1358	xMS_C,N,O,L,A,L,0,2	2.91	0.0
1359	xMS_C,N,O,L,A,L,0,3	2.91	0.0
1360	xMS_C,N,O,L,A,L,0,4	2.91	0.0
1361	xMS_C,N,O,L,A,L,0,5	2.91	0.0
1382	xMS_C,N,O,H,A,L,0,1	12.78	0.0
1383	xMS_C,N,O,H,A,L,0,2	12.78	0.0
1384	xMS_C,N,O,H,A,L,0,3	12.78	0.0
1385	xMS_C,N,O,H,A,L,0,4	12.78	0.0
1386	xMS_C,N,O,H,A,L,0,5	12.78	0.0
1407	xMS_C,N,O,C,A,L,0,1	3.6	0.0
1408	xMS_C,N,O,C,A,L,0,2	3.6	0.0
1409	xMS_C,N,O,C,A,L,0,3	3.6	0.0
1410	xMS_C,N,O,C,A,L,0,4	3.6	0.0
1411	xMS_C,N,O,C,A,L,0,5	3.6	0.0
1432	xMS_C,N,O,R,A,L,0,1	10.08	0.0
1433	xMS_C,N,O,R,A,L,0,2	10.08	0.0
1434	xMS_C,N,O,R,A,L,0,3	10.08	0.0
1435	xMS_C,N,O,R,A,L,0,4	10.08	0.0
1436	xMS_C,N,O,R,A,L,0,5	10.08	0.0
1592	xEAr_B,R,N,L,A,2,1	0.6	0.0
1593	xEAr_B,R,N,L,A,3,1	0.6	0.0
1594	xEAr_B,R,N,L,A,3,2	0.6	0.0
1595	xEAr_B,R,N,L,A,4,1	0.6	0.0
1596	xEAr_B,R,N,L,A,4,2	0.6	0.0
1597	xEAr_B,R,N,L,A,4,3	0.6	0.0
1598	xEAr_B,R,N,L,A,5,1	0.6	0.0
1599	xEAr_B,R,N,L,A,5,2	0.6	0.0
1600	xEAr_B,R,N,L,A,5,3	0.6	0.0
1601	xEAr_B,R,N,L,A,5,4	0.6	0.0
1672	xEAr_B,R,N,C,A,2,1	0.27	0.0
1673	xEAr_B,R,N,C,A,3,1	0.27	0.0
1674	xEAr_B,R,N,C,A,3,2	0.27	0.0
1675	xEAr_B,R,N,C,A,4,1	0.27	0.0
1676	xEAr_B,R,N,C,A,4,2	0.27	0.0
1677	xEAr_B,R,N,C,A,4,3	0.26	0.0
1678	xEAr_B,R,N,C,A,5,1	0.27	0.0
1679	xEAr_B,R,N,C,A,5,2	0.27	0.0
1680	xEAr_B,R,N,C,A,5,3	0.26	0.0
1681	xEAr_B,R,N,C,A,5,4	0.26	0.0
1752	xEAr_B,R,N,R,A,2,1	0.15	0.0
1753	xEAr_B,R,N,R,A,3,1	0.15	0.0
1754	xEAr_B,R,N,R,A,3,2	0.15	0.0
1755	xEAr_B,R,N,R,A,4,1	0.15	0.0
1756	xEAr_B,R,N,R,A,4,2	0.15	0.0
1757	xEAr_B,R,N,R,A,4,3	0.15	0.0
1758	xEAr_B,R,N,R,A,5,1	0.15	0.0
1759	xEAr_B,R,N,R,A,5,2	0.15	0.0
1760	xEAr_B,R,N,R,A,5,3	0.15	0.0
1761	xEAr_B,R,N,R,A,5,4	0.15	0.0
1832	xEAr_B,R,P,L,A,2,1	0.16	0.0
1833	xEAr_B,R,P,L,A,3,1	0.16	0.0
1834	xEAr_B,R,P,L,A,3,2	0.16	0.0
1835	xEAr_B,R,P,L,A,4,1	0.16	0.0
1836	xEAr_B,R,P,L,A,4,2	0.16	0.0
1837	xEAr_B,R,P,L,A,4,3	0.16	0.0
1838	xEAr_B,R,P,L,A,5,1	0.16	0.0
1839	xEAr_B,R,P,L,A,5,2	0.16	0.0
1840	xEAr_B,R,P,L,A,5,3	0.16	0.0
1841	xEAr_B,R,P,L,A,5,4	0.16	0.0
1912	xEAr_B,R,P,C,A,2,1	0.17	0.0
1913	xEAr_B,R,P,C,A,3,1	0.17	0.0
1914	xEAr_B,R,P,C,A,3,2	0.17	0.0
1915	xEAr_B,R,P,C,A,4,1	0.17	0.0
1916	xEAr_B,R,P,C,A,4,2	0.17	0.0
1917	xEAr_B,R,P,C,A,4,3	0.17	0.0
1918	xEAr_B,R,P,C,A,5,1	0.17	0.0
1919	xEAr_B,R,P,C,A,5,2	0.17	0.0
1920	xEAr_B,R,P,C,A,5,3	0.17	0.0
1921	xEAr_B,R,P,C,A,5,4	0.17	0.0
1992	xEAr_B,R,P,R,A,2,1	0.1	0.0
1993	xEAr_B,R,P,R,A,3,1	0.1	0.0
1994	xEAr_B,R,P,R,A,3,2	0.1	0.0
1995	xEAr_B,R,P,R,A,4,1	0.1	0.0
1996	xEAr_B,R,P,R,A,4,2	0.1	0.0
1997	xEAr_B,R,P,R,A,4,3	0.1	0.0
1998	xEAr_B,R,P,R,A,5,1	0.1	0.0
1999	xEAr_B,R,P,R,A,5,2	0.1	0.0
2000	xEAr_B,R,P,R,A,5,3	0.1	0.0
2001	xEAr_B,R,P,R,A,5,4	0.1	0.0
2072	xEAr_B,N,N,L,A,2,1	0.73	0.0
2073	xEAr_B,N,N,L,A,3,1	0.73	0.0
2074	xEAr_B,N,N,L,A,3,2	0.73	0.0
2075	xEAr_B,N,N,L,A,4,1	0.73	0.0
2076	xEAr_B,N,N,L,A,4,2	0.73	0.0
2077	xEAr_B,N,N,L,A,4,3	0.73	0.0
2078	xEAr_B,N,N,L,A,5,1	0.73	0.0
2079	xEAr_B,N,N,L,A,5,2	0.73	0.0
2080	xEAr_B,N,N,L,A,5,3	0.73	0.0
2081	xEAr_B,N,N,L,A,5,4	0.73	0.0
2152	xEAr_B,N,N,C,A,2,1	0.65	0.0
2153	xEAr_B,N,N,C,A,3,1	0.65	0.0
2154	xEAr_B,N,N,C,A,3,2	0.65	0.0
2155	xEAr_B,N,N,C,A,4,1	0.65	0.0
2156	xEAr_B,N,N,C,A,4,2	0.65	0.0
2157	xEAr_B,N,N,C,A,4,3	0.65	0.0
2158	xEAr_B,N,N,C,A,5,1	0.65	0.0
2159	xEAr_B,N,N,C,A,5,2	0.65	0.0
2160	xEAr_B,N,N,C,A,5,3	0.65	0.0
2161	xEAr_B,N,N,C,A,5,4	0.65	0.0
2232	xEAr_B,N,P,R,A,2,1	0.23	0.0
2233	xEAr_B,N,P,R,A,3,1	0.23	0.0
2234	xEAr_B,N,P,R,A,3,2	0.23	0.0
2235	xEAr_B,N,P,R,A,4,1	0.23	0.0
2236	xEAr_B,N,P,R,A,4,2	0.23	0.0
