condition_id	condition_description	static_identifiers	MS_E_percentage	BS_E_percentage	model_condition	
68	layer5 F | layer6 M	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 F;5 M	19.7	4.5	true	
69	layer5 F | layer6 N	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 F;5 N	13.2	4.5	true	
70	layer5 F | layer6 O	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 F;5 O	6.6	4.5	true	
71	layer5 F | layer6 P	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 F;5 P	26.3	4.5	true	
72	layer5 F | layer6 Q	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 F;5 Q	19.7	4.5	true	
73	layer5 F | layer6 R	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 F;5 R	13.2	4.5	true	
74	layer5 F | layer6 S	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 F;5 S	6.6	4.5	true	
75	layer5 F | layer6 Z	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 F;5 Z	0.0	null	true	
76	layer5 G | layer6 F	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 G;5 F	6.6	null	true	
77	layer5 G | layer6 G	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 G;5 G	6.6	null	true	
78	layer5 G | layer6 H	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 G;5 H	6.6	null	true	
79	layer5 G | layer6 I	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 G;5 I	19.7	null	true	
80	layer5 G | layer6 J	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 G;5 J	6.6	null	true	
81	layer5 G | layer6 K	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 G;5 K	0.0	null	true	
82	layer5 G | layer6 L	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 G;5 L	13.2	20.0	true	
83	layer5 G | layer6 M	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 G;5 M	19.7	20.0	true	
