strata_id	layer1	layer2	layer3	layer4	layer5	layer6	natural_growth_acres	prescribed_burn_acres	group_selection_acres	even_age_acres	mixed_severity_wildfire_acres	barkbeetle_acres
BRPCCL	B	R	P	C	C	L	955.6800000000001	0.0	0.0	0.0	52.800000000000004	47.519999999999996
BRPCIS	B	R	P	C	I	S	55.205000000000005	0.0	0.0	0.0	3.0500000000000003	2.745
BRPCIL	B	R	P	C	I	L	151.13500000000002	0.0	0.0	0.0	8.35	7.515
BRPCAS	B	R	P	C	A	S	69.685	0.0	0.0	0.0	3.85	3.465
BRPCAL	B	R	P	C	A	L	77.83	0.0	0.0	0.0	4.3	3.8699999999999997
BRPRPS	B	R	P	R	P	S	51.585	0.0	0.0	0.0	2.85	2.565
BRPRPM	B	R	P	R	P	M	154.791	0.0	0.0	0.0	3.24	3.9690000000000003
BRPRPL	B	R	P	R	P	L	459.5955	0.0	0.0	0.0	9.620000000000001	11.784500000000001
BRPRDS	B	R	P	R	D	S	264.6735	0.0	0.0	0.0	5.54	6.7865
BRPRDM	B	R	P	R	D	M	328.692	0.0	0.0	0.0	6.88	8.428
BRPRDL	B	R	P	R	D	L	1135.134	0.0	0.0	0.0	23.76	29.106
BRPRWS	B	R	P	R	W	S	529.347	0.0	0.0	0.0	11.08	13.573
BRPRWP	B	R	P	R	W	P	356.4015	0.0	0.0	0.0	7.46	9.1385
BRPRWM	B	R	P	R	W	M	1665.4365	0.0	0.0	0.0	34.86	42.7035
BRPRWL	B	R	P	R	W	L	5042.1735	0.0	0.0	0.0	105.54	129.28650000000002
BRPRCS	B	R	P	R	C	S	361.095	0.0	0.0	0.0	19.950000000000003	17.955
BRPRCP	B	R	P	R	C	P	356.57	0.0	0.0	0.0	19.700000000000003	17.73
BRPRCM	B	R	P	R	C	M	2360.24	0.0	0.0	0.0	130.4	117.36
BRPRCL	B	R	P	R	C	L	6867.14	0.0	0.0	0.0	379.40000000000003	341.46
BRPRIP	B	R	P	R	I	P	49.775	0.0	0.0	0.0	2.75	2.475
BRPRIL	B	R	P	R	I	L	83.26	0.0	0.0	0.0	4.6000000000000005	4.14
BRPRAL	B	R	P	R	A	L	47.06	0.0	0.0	0.0	2.6	2.34
BRPRLL	B	R	P	R	L	L	73.305	0.0	0.0	0.0	4.05	3.645
BNNLPL	B	N	N	L	P	L	87.90599999999999	0.0	0.0	0.0	1.84	2.254
BNNLDL	B	N	N	L	D	L	55.419000000000004	0.0	0.0	0.0	1.16	1.421
BNNLWS	B	N	N	L	W	S	71.6625	0.0	0.0	0.0	1.5	1.8375000000000001
BNNLWP	B	N	N	L	W	P	61.152	0.0	0.0	0.0	1.28	1.568
BNNLWM	B	N	N	L	W	M	322.0035	0.0	0.0	0.0	6.74	8.2565
BNNLWL	B	N	N	L	W	L	1093.0919999999999	0.0	0.0	0.0	22.88	28.028000000000002
BNNLCS	B	N	N	L	C	S	90.5	0.0	0.0	0.0	5.0	4.5
BNNLCM	B	N	N	L	C	M	358.38	0.0	0.0	0.0	19.8	17.82
BNNLCL	B	N	N	L	C	L	1263.38	0.0	0.0	0.0	69.8	62.82
BNNLIS	B	N	N	L	I	S	126.7	0.0	0.0	0.0	7.0	6.3
BNNLIM	B	N	N	L	I	M	196.38500000000002	0.0	0.0	0.0	10.850000000000001	9.764999999999999
BNNLIL	B	N	N	L	I	L	219.01000000000002	0.0	0.0	0.0	12.100000000000001	10.889999999999999
BNNLAS	B	N	N	L	A	S	77.83	0.0	0.0	0.0	4.3	3.8699999999999997
BNNLAM	B	N	N	L	A	M	142.085	0.0	0.0	0.0	7.8500000000000005	7.0649999999999995
BNNLAL	B	N	N	L	A	L	342.09000000000003	0.0	0.0	0.0	18.900000000000002	17.009999999999998
BNNLLM	B	N	N	L	L	M	67.875	0.0	0.0	0.0	3.75	3.375
BNNHCL	B	N	N	H	C	L	64.25500000000001	0.0	0.0	0.0	3.5500000000000003	3.195
BNNCPM	B	N	N	C	P	M	868.5495000000001	0.0	0.0	0.0	18.18	22.270500000000002
BNNCPL	B	N	N	C	P	L	1211.574	0.0	0.0	0.0	25.36	31.066000000000003
BNNCDS	B	N	N	C	D	S	80.26199999999999	0.0	0.0	0.0	1.68	2.0580000000000003
BNNCDM	B	N	N	C	D	M	515.97	0.0	0.0	0.0	10.8	13.23
BNNCDL	B	N	N	C	D	L	1648.2375	0.0	0.0	0.0	34.5	42.2625
BNNCWS	B	N	N	C	W	S	102.2385	0.0	0.0	0.0	2.14	2.6215
BNNCWP	B	N	N	C	W	P	296.205	0.0	0.0	0.0	6.2	7.595000000000001
BNNCWM	B	N	N	C	W	M	1589.952	0.0	0.0	0.0	33.28	40.768
BNNCWL	B	N	N	C	W	L	4107.6945000000005	0.0	0.0	0.0	85.98	105.3255
BNNCCS	B	N	N	C	C	S	87.78500000000001	0.0	0.0	0.0	4.8500000000000005	4.365
BNNCCP	B	N	N	C	C	P	589.1550000000001	0.0	0.0	0.0	32.550000000000004	29.294999999999998
BNNCCM	B	N	N	C	C	M	1224.465	0.0	0.0	0.0	67.65	60.885
BNNCCL	B	N	N	C	C	L	3729.5049999999997	0.0	0.0	0.0	206.05	185.445
BNNCIM	B	N	N	C	I	M	55.205000000000005	0.0	0.0	0.0	3.0500000000000003	2.745
BNNCIL	B	N	N	C	I	L	223.535	0.0	0.0	0.0	12.350000000000001	11.115
BNNCAP	B	N	N	C	A	P	57.919999999999995	0.0	0.0	0.0	3.2	2.88
BNNCAM	B	N	N	C	A	M	57.015	0.0	0.0	0.0	3.1500000000000004	2.835
BNNCAL	B	N	N	C	A	L	303.175	0.0	0.0	0.0	16.75	15.075
BNNCLM	B	N	N	C	L	M	83.26	0.0	0.0	0.0	4.6000000000000005	4.14
BNNCLL	B	N	N	C	L	L	163.80499999999998	0.0	0.0	0.0	9.05	8.145
BNNRPL	B	N	N	R	P	L	110.83800000000001	0.0	0.0	0.0	2.32	2.842
BNNRDL	B	N	N	R	D	L	73.5735	0.0	0.0	0.0	1.54	1.8865
BNNRWP	B	N	N	R	W	P	64.974	0.0	0.0	0.0	1.36	1.6660000000000001
BNNRWM	B	N	N	R	W	M	278.0505	0.0	0.0	0.0	5.82	7.1295
BNNRWL	B	N	N	R	W	L	901.0364999999999	0.0	0.0	0.0	18.86	23.1035
BNNRCM	B	N	N	R	C	M	321.275	0.0	0.0	0.0	17.75	15.975
BNNRCL	B	N	N	R	C	L	1544.835	0.0	0.0	0.0	85.35000000000001	76.815
BNOHWL	B	N	O	H	W	L	274.2285	0.0	0.0	0.0	5.74	7.0315
BNOHCM	B	N	O	H	C	M	120.365	0.0	0.0	0.0	6.65	5.984999999999999
BNOHCL	B	N	O	H	C	L	610.875	0.0	0.0	0.0	33.75	30.375
BNORPL	B	N	O	R	P	L	121.34849999999999	0.0	0.0	0.0	2.54	3.1115
BNORDM	B	N	O	R	D	M	85.995	0.0	0.0	0.0	1.8	2.205
BNORDL	B	N	O	R	D	L	163.3905	0.0	0.0	0.0	3.42	4.1895
BNORWP	B	N	O	R	W	P	66.88499999999999	0.0	0.0	0.0	1.4000000000000001	1.715
BNORWM	B	N	O	R	W	M	154.791	0.0	0.0	0.0	3.24	3.9690000000000003
BNORWL	B	N	O	R	W	L	1278.459	0.0	0.0	0.0	26.76	32.781
BNORCM	B	N	O	R	C	M	348.425	0.0	0.0	0.0	19.25	17.325
BNORCL	B	N	O	R	C	L	2172.9049999999997	0.0	0.0	0.0	120.05000000000001	108.045
BNPHWM	B	N	P	H	W	M	85.995	0.0	0.0	0.0	1.8	2.205
BNPHWL	B	N	P	H	W	L	234.0975	0.0	0.0	0.0	4.9	6.0025
BNPHCP	B	N	P	H	C	P	50.68	0.0	0.0	0.0	2.8000000000000003	2.52
BNPHCM	B	N	P	H	C	M	122.175	0.0	0.0	0.0	6.75	6.075
BNPHCL	B	N	P	H	C	L	432.59000000000003	0.0	0.0	0.0	23.900000000000002	21.509999999999998
BNPCCL	B	N	P	C	C	L	70.58999999999999	0.0	0.0	0.0	3.9000000000000004	3.51
BNPRPL	B	N	P	R	P	L	73.5735	0.0	0.0	0.0	1.54	1.8865
BNPRDL	B	N	P	R	D	L	62.1075	0.0	0.0	0.0	1.3	1.5925
BNPRWP	B	N	P	R	W	P	59.241	0.0	0.0	0.0	1.24	1.5190000000000001
BNPRWM	B	N	P	R	W	M	210.20999999999998	0.0	0.0	0.0	4.4	5.390000000000001
BNPRWL	B	N	P	R	W	L	708.981	0.0	0.0	0.0	14.84	18.179000000000002
BNPRCP	B	N	P	R	C	P	65.16000000000001	0.0	0.0	0.0	3.6	3.2399999999999998
BNPRCM	B	N	P	R	C	M	292.315	0.0	0.0	0.0	16.150000000000002	14.535
BNPRCL	B	N	P	R	C	L	1127.63	0.0	0.0	0.0	62.300000000000004	56.07
BNPRAL	B	N	P	R	A	L	106.78999999999999	0.0	0.0	0.0	5.9	5.31
BNSHWS	B	N	S	H	W	S	205.43249999999998	0.0	0.0	0.0	4.3	5.2675
BNSHWP	B	N	S	H	W	P	107.97149999999999	0.0	0.0	0.0	2.2600000000000002	2.7685
BNSHWM	B	N	S	H	W	M	196.833	0.0	0.0	0.0	4.12	5.047000000000001
BNSHWL	B	N	S	H	W	L	930.6569999999999	0.0	0.0	0.0	19.48	23.863
BNSHCS	B	N	S	H	C	S	98.645	0.0	0.0	0.0	5.45	4.905
BNSHCP	B	N	S	H	C	P	58.825	0.0	0.0	0.0	3.25	2.925
BNSHCM	B	N	S	H	C	M	265.165	0.0	0.0	0.0	14.65	13.184999999999999
BNSHCL	B	N	S	H	C	L	1463.385	0.0	0.0	0.0	80.85000000000001	72.765
BNSHIL	B	N	S	H	I	L	51.585	0.0	0.0	0.0	2.85	2.565
BNSHLL	B	N	S	H	L	L	94.12	0.0	0.0	0.0	5.2	4.68
BNSRPL	B	N	S	R	P	L	616.2975	0.0	0.0	0.0	12.9	15.8025
BNSRDS	B	N	S	R	D	S	63.06300000000001	0.0	0.0	0.0	1.32	1.617
BNSRDM	B	N	S	R	D	M	201.6105	0.0	0.0	0.0	4.22	5.1695
BNSRDL	B	N	S	R	D	L	472.9725	0.0	0.0	0.0	9.9	12.127500000000001
BNSRWS	B	N	S	R	W	S	520.7475000000001	0.0	0.0	0.0	10.9	13.352500000000001
BNSRWP	B	N	S	R	W	P	627.7635	0.0	0.0	0.0	13.14	16.0965
BNSRWM	B	N	S	R	W	M	765.3555	0.0	0.0	0.0	16.02	19.6245
BNSRWL	B	N	S	R	W	L	4807.1205	0.0	0.0	0.0	100.62	123.2595
BNSRCS	B	N	S	R	C	S	165.615	0.0	0.0	0.0	9.15	8.235
BNSRCP	B	N	S	R	C	P	409.96500000000003	0.0	0.0	0.0	22.650000000000002	20.384999999999998
BNSRCM	B	N	S	R	C	M	1671.535	0.0	0.0	0.0	92.35000000000001	83.115
BNSRCL	B	N	S	R	C	L	8038.21	0.0	0.0	0.0	444.1	399.69
BNSRLL	B	N	S	R	L	L	79.64	0.0	0.0	0.0	4.4	3.96
URNLCL	U	R	N	L	C	L	135.75	0.0	0.0	0.0	7.5	6.75
URNHWL	U	R	N	H	W	L	100.3275	0.0	0.0	0.0	2.1	2.5725000000000002
URNHCL	U	R	N	H	C	L	172.855	0.0	0.0	0.0	9.55	8.594999999999999
URNCWL	U	R	N	C	W	L	107.016	0.0	0.0	0.0	2.24	2.744
URNCCL	U	R	N	C	C	L	101.36	0.0	0.0	0.0	5.6000000000000005	5.04
URNRCL	U	R	N	R	C	L	198.19500000000002	0.0	0.0	0.0	10.950000000000001	9.855
UROHCL	U	R	O	H	C	L	46.155	0.0	0.0	0.0	2.5500000000000003	2.295
URORCL	U	R	O	R	C	L	93.21499999999999	0.0	0.0	0.0	5.15	4.635
URPHWL	U	R	P	H	W	L	108.92699999999999	0.0	0.0	0.0	2.2800000000000002	2.793
