index	slack	dual
277391	-0.0	0.0
277399	-0.0	0.0
277407	-0.0	0.0
277420	0.0	0.0
277423	-0.0	0.0
277431	0.0	0.0
277447	0.0	0.0
277455	-0.0	0.0
277463	-0.0	0.0
277471	0.0	0.0
277479	0.0	0.0
277487	-0.0	0.0
277500	-0.0	0.0
277520	0.0	0.0
277527	-0.0	0.0
277535	0.0	0.0
277543	-0.0	0.0
277552	0.0	0.0
277559	-0.0	0.0
277583	-0.0	0.0
277591	-0.0	0.0
277599	-0.0	0.0
277607	-0.0	0.0
277615	-0.0	0.0
277623	-0.0	0.0
277632	-0.0	0.0
277639	-0.0	0.0
277647	-0.0	0.0
277660	-0.0	0.0
277666	-0.0	0.0
277674	-0.0	0.0
277683	0.0	0.0
277691	0.0	0.0
277698	-0.0	0.0
277707	-0.0	0.0
277715	-0.0	0.0
277724	-0.0	0.0
277726	0.0	0.0
277740	0.0	0.0
277748	-0.0	0.0
277755	0.0	0.0
277765	-0.0	0.0
277779	0.0	0.0
277788	-0.0	0.0
277795	0.0	0.0
277799	-0.0	0.0
277807	-0.0	0.0
278137	0.0	0.0
278144	-0.0	0.0
278152	-0.0	0.0
278160	0.0	0.0
278168	-0.0	0.0
278176	0.0	0.0
278185	0.0	0.0
278193	-0.0	0.0
278212	-0.0	0.0
278225	0.0	0.0
278233	0.0	0.0
278241	-0.0	0.0
278249	-0.0	0.0
278257	0.0	0.0
278273	0.0	0.0
278284	0.0	0.0
278285	-0.0	0.0
278777	-0.0	0.0
278784	-0.0	0.0
278792	0.0	0.0
278800	-0.0	0.0
278808	-0.0	0.0
278817	-0.0	0.0
278825	-0.0	0.0
278833	-0.0	0.0
278841	-0.0	0.0
278845	0.0	0.0
278861	-0.0	0.0
278873	-0.0	0.0
278881	0.0	0.0
278889	0.0	0.0
278897	-0.0	0.0
278905	-0.0	0.0
278909	-0.0	0.0
278917	-0.0	0.0
278926	-0.0	0.0
279175	-0.0	0.0
279181	0.0	0.0
279189	-0.0	0.0
279199	-0.0	0.0
279208	-0.0	0.0
279215	-0.0	0.0
279223	-0.0	0.0
279236	-0.0	0.0
279239	-0.0	0.0
279245	-0.0	0.0
279255	-0.0	0.0
279262	-0.0	0.0
279270	-0.0	0.0
279292	-0.0	0.0
279295	0.0	0.0
279303	0.0	0.0
279310	-0.0	0.0
279319	-0.0	0.0
279325	-0.0	0.0
279340	-0.0	0.0
279351	0.0	0.0
279367	0.0	0.0
279375	0.0	0.0
279391	0.0	0.0
279407	-0.0	0.0
279416	0.0	0.0
279424	0.0	0.0
279432	-0.0	0.0
279440	-0.0	0.0
279447	-0.0	0.0
279464	-0.0	0.0
279472	-0.0	0.0
279484	-0.0	0.0
279491	0.0	0.0
279505	-0.0	0.0
279510	-0.0	0.0
279521	-0.0	0.0
279529	0.0	0.0
279540	-0.0	0.0
279548	0.0	0.0
279553	-0.0	0.0
279564	-0.0	0.0
279572	-0.0	0.0
279815	0.0	0.0
279829	-0.0	0.0
279837	-0.0	0.0
279847	-0.0	0.0
279853	-0.0	0.0
279863	-0.0	0.0
279871	-0.0	0.0
279884	-0.0	0.0
279885	0.0	0.0
279895	0.0	0.0
279902	-0.0	0.0
279910	-0.0	0.0
279918	-0.0	0.0
279927	-0.0	0.0
