strata_id	layer1	layer2	layer3	layer4	layer5	layer6	natural_growth_acres	prescribed_burn_acres	group_selection_acres	even_age_acres	mixed_severity_wildfire_acres	barkbeetle_acres
BRPRDS	B	R	P	R	D	S	0.0	0.0	0.0	260.38	11.08	5.54
BRPRDM	B	R	P	R	D	M	323.36	0.0	0.0	0.0	13.76	6.88
BRPRDL	B	R	P	R	D	L	0.0	0.0	1116.72	0.0	47.52	23.76
BRPRWS	B	R	P	R	W	S	0.0	0.0	0.0	520.76	22.16	11.08
BRPRWP	B	R	P	R	W	P	0.0	0.0	0.0	350.62	14.92	7.46
BRPRWM	B	R	P	R	W	M	0.0	1638.42	0.0	0.0	69.72	34.86
BRPRWL	B	R	P	R	W	L	0.0	4960.38	0.0	0.0	211.08	105.54
BRPRCS	B	R	P	R	C	S	0.0	0.0	0.0	375.06	15.96	7.98
BRPRCP	B	R	P	R	C	P	0.0	0.0	0.0	370.36	15.76	7.88
BRPRCM	B	R	P	R	C	M	0.0	0.0	2451.52	0.0	104.32000000000001	52.160000000000004
BRPRCL	B	R	P	R	C	L	0.0	0.0	7132.719999999999	0.0	303.52	151.76
BRPRIP	B	R	P	R	I	P	0.0	0.0	0.0	51.699999999999996	2.2	1.1
BRPRIL	B	R	P	R	I	L	0.0	0.0	86.47999999999999	0.0	3.68	1.84
BRPRAL	B	R	P	R	A	L	48.88	0.0	0.0	0.0	2.08	1.04
BRPRLL	B	R	P	R	L	L	76.14	0.0	0.0	0.0	3.24	1.62
BNNLPL	B	N	N	L	P	L	86.47999999999999	0.0	0.0	0.0	3.68	1.84
BNNLDL	B	N	N	L	D	L	54.52	0.0	0.0	0.0	2.32	1.16
BNNLWS	B	N	N	L	W	S	0.0	0.0	0.0	70.5	3.0	1.5
BNNLWP	B	N	N	L	W	P	0.0	0.0	0.0	60.16	2.56	1.28
BNNLWM	B	N	N	L	W	M	316.78	0.0	0.0	0.0	13.48	6.74
BNNLWL	B	N	N	L	W	L	0.0	1075.36	0.0	0.0	45.76	22.88
BNNLCS	B	N	N	L	C	S	0.0	0.0	0.0	94.0	4.0	2.0
BNNLCM	B	N	N	L	C	M	372.24	0.0	0.0	0.0	15.84	7.92
BNNLCL	B	N	N	L	C	L	0.0	0.0	1312.24	0.0	55.84	27.92
BNNLIS	B	N	N	L	I	S	0.0	0.0	0.0	131.6	5.6000000000000005	2.8000000000000003
BNNLIM	B	N	N	L	I	M	203.98	0.0	0.0	0.0	8.68	4.34
BNNLIL	B	N	N	L	I	L	227.48	0.0	0.0	0.0	9.68	4.84
BNNLAS	B	N	N	L	A	S	0.0	0.0	0.0	80.84	3.44	1.72
BNNLAM	B	N	N	L	A	M	147.58	0.0	0.0	0.0	6.28	3.14
BNNLAL	B	N	N	L	A	L	355.32	0.0	0.0	0.0	15.120000000000001	7.5600000000000005
BNNLLM	B	N	N	L	L	M	70.5	0.0	0.0	0.0	3.0	1.5
BNNHCL	B	N	N	H	C	L	66.74	0.0	0.0	0.0	2.84	1.42
BNNCPM	B	N	N	C	P	M	0.0	0.0	854.46	0.0	36.36	18.18
BNNCPL	B	N	N	C	P	L	0.0	0.0	1191.92	0.0	50.72	25.36
BNNCDS	B	N	N	C	D	S	0.0	0.0	0.0	78.96	3.36	1.68
BNNCDM	B	N	N	C	D	M	507.59999999999997	0.0	0.0	0.0	21.6	10.8
BNNCDL	B	N	N	C	D	L	0.0	0.0	1621.5	0.0	69.0	34.5
BNNCWS	B	N	N	C	W	S	0.0	0.0	0.0	100.58	4.28	2.14
BNNCWP	B	N	N	C	W	P	0.0	0.0	0.0	291.40000000000003	12.4	6.2
