Strata, Stand Type/Rx/Timing Choice Label
DOM_GRP 267.00, Grand Fir
DOM_GRP 268.00, Subalpine Fir
DOM_GRP 270.00, Mountain Hemlock
DOM_GRP 281.00, Lodgepole Pine
DOM_GRP 301.00, Western Hemlock
DOM_GRP 304.00, Western Redcedar
DOM_GRP 321.00, Western Larch
DOM_GRP 367.00, Whitebrak Pine
DOM_GRP 999.00, Nonstocked


SIZ_NTG 12.00, Large (15"+)
SIZ_NTG 13.00, Medium (10" - 15")
SIZ_NTG 20.00, Small (5" - 10")
SIZ_NTG 30.00, Seedling and Sapling (0" - 5")
SIZ_NTG 50.00, NonStocked
