Index	Name	Value	Reduced Cost
1166	x_U,N,N,H,W,S,4	1.65	 
1167	x_U,N,N,H,W,L,0	73.72	 
1171	x_U,N,N,H,W,L,4	2.28	 
1172	x_U,N,N,H,C,L,0	149.38	 
1176	x_U,N,N,H,C,L,4	4.62	 
1177	x_U,N,N,R,W,L,0	113.49	 
1181	x_U,N,N,R,W,L,4	3.51	 
1182	x_U,N,N,R,C,L,0	238.62	 
1186	x_U,N,N,R,C,L,4	7.38	 
1187	x_U,N,O,H,W,L,0	345.32	 
1191	x_U,N,O,H,W,L,4	10.68	 
1192	x_U,N,O,H,C,L,0	805.1	 
1196	x_U,N,O,H,C,L,4	24.9	 
1197	x_U,N,O,R,W,L,0	287.12	 
1201	x_U,N,O,R,W,L,4	8.88	 
1202	x_U,N,O,R,C,M,0	78.57	 
1206	x_U,N,O,R,C,M,4	2.43	 
1207	x_U,N,O,R,C,L,0	924.41	 
1211	x_U,N,O,R,C,L,4	28.59	 
1212	x_U,N,P,H,W,L,0	260.93	 
1216	x_U,N,P,H,W,L,4	8.07	 
1217	x_U,N,P,H,C,L,0	492.76	 
1221	x_U,N,P,H,C,L,4	15.24	 
1224	x_U,N,P,H,A,L,2	62.08	 
1226	x_U,N,P,H,A,L,4	1.92	 
1227	x_U,N,P,R,W,L,0	491.79	 
1231	x_U,N,P,R,W,L,4	15.21	 
1234	x_U,N,P,R,C,S,2	54.32	 
1236	x_U,N,P,R,C,S,4	1.68	 
1237	x_U,N,P,R,C,M,0	59.17	 
1241	x_U,N,P,R,C,M,4	1.83	 
1242	x_U,N,P,R,C,L,0	977.76	 
1246	x_U,N,P,R,C,L,4	30.24	 
1249	x_U,N,P,R,A,L,2	100.88	 
1251	x_U,N,P,R,A,L,4	3.12	 
1252	x_U,N,S,H,W,S,0	1131.02	 
1256	x_U,N,S,H,W,S,4	34.98	 
1257	x_U,N,S,H,W,P,0	148.41	 
1261	x_U,N,S,H,W,P,4	4.59	 
1262	x_U,N,S,H,W,M,0	224.07	 
1266	x_U,N,S,H,W,M,4	6.93	 
1267	x_U,N,S,H,W,L,0	2133.03	 
1271	x_U,N,S,H,W,L,4	65.97	 
1272	x_U,N,S,H,C,S,0	468.51	 
1276	x_U,N,S,H,C,S,4	14.49	 
1277	x_U,N,S,H,C,P,0	174.6	 
1281	x_U,N,S,H,C,P,4	5.4	 
1282	x_U,N,S,H,C,M,0	314.28	 
1286	x_U,N,S,H,C,M,4	9.72	 
1287	x_U,N,S,H,C,L,0	4155.48	 
1291	x_U,N,S,H,C,L,4	128.52	 
1294	x_U,N,S,H,A,S,2	182.36	 
1296	x_U,N,S,H,A,S,4	5.64	 
1299	x_U,N,S,H,A,L,2	125.13	 
1301	x_U,N,S,H,A,L,4	3.87	 
1304	x_U,N,S,H,L,L,2	139.65	 
1306	x_U,N,S,H,L,L,4	7.35	 
1308	x_U,N,S,R,P,L,1	75.66	 
1311	x_U,N,S,R,P,L,4	2.34	 
1312	x_U,N,S,R,D,M,0	57.23	 
1316	x_U,N,S,R,D,M,4	1.77	 
1317	x_U,N,S,R,D,L,0	96.03	 
1321	x_U,N,S,R,D,L,4	2.97	 
1322	x_U,N,S,R,W,S,0	930.23	 
1326	x_U,N,S,R,W,S,4	28.77	 
1327	x_U,N,S,R,W,P,0	161.99	 
1331	x_U,N,S,R,W,P,4	5.01	 
