condition_id	condition_description	static_identifiers	MS_E_percentage	BS_E_percentage	
118	layer5 V | layer6 K	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 V;5 K	null	null	
119	layer5 V | layer6 L	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 V;5 L	null	null	
120	layer5 V | layer6 M	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 V;5 M	null	null	
121	layer5 V | layer6 N	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 V;5 N	null	null	
122	layer5 V | layer6 O	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 V;5 O	null	null	
123	layer5 V | layer6 P	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 V;5 P	null	null	
124	layer5 V | layer6 Q	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 V;5 Q	null	null	
125	layer5 V | layer6 R	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 V;5 R	null	null	
126	layer5 V | layer6 S	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 V;5 S	null	null	
127	layer5 W | layer6 F	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 W;5 F	null	null	
128	layer5 W | layer6 G	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 W;5 G	null	null	
129	layer5 W | layer6 H	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 W;5 H	null	null	
130	layer5 W | layer6 I	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 W;5 I	null	null	
131	layer5 W | layer6 J	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 W;5 J	null	null	
132	layer5 W | layer6 K	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 W;5 K	null	null	
133	layer5 W | layer6 L	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 W;5 L	null	null	
134	layer5 W | layer6 M	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 W;5 M	null	null	
135	layer5 W | layer6 N	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 W;5 N	null	null	
136	layer5 W | layer6 O	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 W;5 O	null	null	
137	layer5 W | layer6 P	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 W;5 P	null	null	
138	layer5 W | layer6 Q	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 W;5 Q	null	null	
139	layer5 W | layer6 R	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 W;5 R	null	null	
140	layer5 W | layer6 S	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 W;5 S	null	null	
