Strata ID	Layer 1	Layer 2	Layer 3	Layer 4	Layer 5	Layer 6	Total area (acres)	Age Class	Strata in optimization model	
CNNCIL	C	N	N	C	I	L	8449	8	Yes	
CNNCIM	C	N	N	C	I	M	14243	8	Yes	
CNNCIP	C	N	N	C	I	P	7732	4	Yes	
CNNCIS	C	N	N	C	I	S	731	1	Yes	
CNNCLL	C	N	N	C	L	L	3055	8	Yes	
CNNCLM	C	N	N	C	L	M	9430	8	Yes	
CNNCLP	C	N	N	C	L	P	9579	4	Yes	
CNNCNM	C	N	N	C	N	M	129	not found	Yes	
CNNCNN	C	N	N	C	N	N	77113	not found	Yes	
CNNCPL	C	N	N	C	P	L	3182	8	Yes	
CNNCPM	C	N	N	C	P	M	3068	8	Yes	
CNNCPP	C	N	N	C	P	P	291	not found	Yes	
CNNCPS	C	N	N	C	P	S	240	2	Yes	
CNNCWL	C	N	N	C	W	L	3931	8	Yes	
CNNCWM	C	N	N	C	W	M	2908	8	Yes	
CNNCWP	C	N	N	C	W	P	749	4	Yes	
CNNCWS	C	N	N	C	W	S	118	2	Yes	
CNNHAL	C	N	N	H	A	L	997	9	Yes	
CNNHAM	C	N	N	H	A	M	907	8	Yes	
CNNHAP	C	N	N	H	A	P	861	4	Yes	
CNNHIL	C	N	N	H	I	L	1058	8	Yes	
CNNHIM	C	N	N	H	I	M	925	8	Yes	
CNNHIP	C	N	N	H	I	P	484	4	Yes	
CNNHLL	C	N	N	H	L	L	724	8	Yes	
CNNHLM	C	N	N	H	L	M	390	8	Yes	
CNNHLP	C	N	N	H	L	P	316	4	Yes	
CNNHNN	C	N	N	H	N	N	153	not found	Yes	
CNNHWL	C	N	N	H	W	L	142	8	Yes	
CNNLAL	C	N	N	L	A	L	33323	9	Yes	
CNNLAM	C	N	N	L	A	M	56955	8	Yes	
CNNLAP	C	N	N	L	A	P	38935	4	Yes	
CNNLAS	C	N	N	L	A	S	1116	1	Yes	
CNNLCL	C	N	N	L	C	L	5270	8	Yes	
CNNLCM	C	N	N	L	C	M	1025	8	Yes	
CNNLCP	C	N	N	L	C	P	473	4	Yes	
CNNLCS	C	N	N	L	C	S	200	2	Yes	
CNNLDL	C	N	N	L	D	L	1744	8	Yes	
CNNLDM	C	N	N	L	D	M	666	8	Yes	
CNNLDP	C	N	N	L	D	P	51	not found	Yes	
CNNLDS	C	N	N	L	D	S	184	2	Yes	
CNNLIL	C	N	N	L	I	L	19303	8	Yes	
CNNLIM	C	N	N	L	I	M	32817	8	Yes	
CNNLIP	C	N	N	L	I	P	14895	4	Yes	
CNNLIS	C	N	N	L	I	S	1863	1	Yes	
CNNLLL	C	N	N	L	L	L	6453	8	Yes	
CNNLLM	C	N	N	L	L	M	23216	8	Yes	
CNNLLP	C	N	N	L	L	P	17277	4	Yes	
CNNLNL	C	N	N	L	N	L	94	not found	Yes	
CNNLNM	C	N	N	L	N	M	151	not found	Yes	
CNNLNN	C	N	N	L	N	N	55416	not found	Yes	
CNNLPL	C	N	N	L	P	L	1803	8	Yes	
CNNLPM	C	N	N	L	P	M	2528	8	Yes	
CNNLPP	C	N	N	L	P	P	370	not found	Yes	
CNNLPS	C	N	N	L	P	S	110	2	Yes	
CNNLWL	C	N	N	L	W	L	7496	8	Yes	
CNNLWM	C	N	N	L	W	M	5075	8	Yes	
CNNLWP	C	N	N	L	W	P	1715	4	Yes	
CNNLWS	C	N	N	L	W	S	331	2	Yes	
CNNRAL	C	N	N	R	A	L	1237	9	Yes	
CNNRAM	C	N	N	R	A	M	2226	8	Yes	
CNNRAP	C	N	N	R	A	P	1865	4	Yes	
CNNRAS	C	N	N	R	A	S	206	1	Yes	
CNNRIL	C	N	N	R	I	L	1061	8	Yes	
CNNRIM	C	N	N	R	I	M	1499	8	Yes	
CNNRIP	C	N	N	R	I	P	836	4	Yes	
CNNRIS	C	N	N	R	I	S	213	1	Yes	
CNNRLL	C	N	N	R	L	L	638	8	Yes	
CNNRLM	C	N	N	R	L	M	794	8	Yes	
CNNRLP	C	N	N	R	L	P	597	4	Yes	
CNNRNN	C	N	N	R	N	N	1239	not found	Yes	
CNNRWL	C	N	N	R	W	L	152	8	Yes	
CNNRWM	C	N	N	R	W	M	103	8	Yes	
CNOCAL	C	N	O	C	A	L	120	9	Yes	
CNOCAM	C	N	O	C	A	M	204	8	Yes	
CNOCAP	C	N	O	C	A	P	117	4	Yes	
CNOCCL	C	N	O	C	C	L	86	8	Yes	
CNOCIL	C	N	O	C	I	L	129	8	Yes	
CNOCIM	C	N	O	C	I	M	53	8	Yes	
CNOCIP	C	N	O	C	I	P	72	4	Yes	
CNOCLL	C	N	O	C	L	L	60	8	Yes	
CNOCLM	C	N	O	C	L	M	60	8	Yes	
CNOCLP	C	N	O	C	L	P	57	4	Yes	
CNOCWL	C	N	O	C	W	L	65	8	Yes	
CNOHAL	C	N	O	H	A	L	426	9	Yes	
CNOHAM	C	N	O	H	A	M	448	8	Yes	
CNOHAP	C	N	O	H	A	P	695	4	Yes	
CNOHIL	C	N	O	H	I	L	393	8	Yes	
CNOHIM	C	N	O	H	I	M	348	8	Yes	
CNOHIP	C	N	O	H	I	P	338	4	Yes	
CNOHLL	C	N	O	H	L	L	167	8	Yes	
CNOHLM	C	N	O	H	L	M	273	8	Yes	
CNOHLP	C	N	O	H	L	P	266	4	Yes	
CNOHWL	C	N	O	H	W	L	55	8	Yes	
CNOLAL	C	N	O	L	A	L	97	9	Yes	
CNOLAM	C	N	O	L	A	M	147	8	Yes	
CNOLAP	C	N	O	L	A	P	333	4	Yes	
CNOLIM	C	N	O	L	I	M	71	8	Yes	
CNOLIP	C	N	O	L	I	P	91	4	Yes	
CNOLLM	C	N	O	L	L	M	56	8	Yes	
CNOLLP	C	N	O	L	L	P	101	4	Yes	
CNORAL	C	N	O	R	A	L	336	9	Yes	
CNORAM	C	N	O	R	A	M	217	8	Yes	
CNORAP	C	N	O	R	A	P	218	4	Yes	
CNORIL	C	N	O	R	I	L	409	8	Yes	
CNORIM	C	N	O	R	I	M	252	8	Yes	
CNORIP	C	N	O	R	I	P	233	4	Yes	
CNORLL	C	N	O	R	L	L	241	8	Yes	
CNORLM	C	N	O	R	L	M	156	8	Yes	
CNORLP	C	N	O	R	L	P	159	4	Yes	
