strata_id	layer1	layer2	layer3	layer4	layer5	layer6	natural_growth_acres	prescribed_burn_acres	group_selection_acres	even_age_acres	mixed_severity_wildfire_acres	barkbeetle_acres
BRPCWS	B	R	P	C	W	S	0.0	0.0	0.0	422.24	13.92	27.84
BRPCWP	B	R	P	C	W	P	0.0	0.0	252.07	0.0	8.31	16.62
BRPCWM	B	R	P	C	W	M	0.0	0.0	145.6	0.0	4.8	9.6
BRPCWL	B	R	P	C	W	L	0.0	0.0	1061.97	0.0	35.01	70.02
BRPCCS	B	R	P	C	C	S	0.0	0.0	356.72	0.0	11.76	23.52
BRPCCP	B	R	P	C	C	P	0.0	0.0	58.239999999999995	0.0	1.92	3.84
BRPCCM	B	R	P	C	C	M	0.0	0.0	199.29000000000002	0.0	6.569999999999999	13.139999999999999
BRPCCL	B	R	P	C	C	L	0.0	0.0	960.9599999999999	0.0	31.68	63.36
BRPCIS	B	R	P	C	I	S	0.0	0.0	55.510000000000005	0.0	1.8299999999999998	3.6599999999999997
BRPCIL	B	R	P	C	I	L	0.0	0.0	151.97	0.0	5.01	10.02
BRPCAS	B	R	P	C	A	S	0.0	0.0	70.07	0.0	2.31	4.62
BRPCAL	B	R	P	C	A	L	0.0	0.0	78.26	0.0	2.58	5.16
BRPRPS	B	R	P	R	P	S	0.0	0.0	51.87	0.0	1.71	3.42
BRPRPM	B	R	P	R	P	M	0.0	0.0	147.42	0.0	4.859999999999999	9.719999999999999
BRPRPL	B	R	P	R	P	L	0.0	0.0	437.71	0.0	14.43	28.86
BRPRDS	B	R	P	R	D	S	0.0	0.0	252.07	0.0	8.31	16.62
BRPRDM	B	R	P	R	D	M	0.0	0.0	313.04	0.0	10.32	20.64
BRPRDL	B	R	P	R	D	L	0.0	1081.08	0.0	0.0	35.64	71.28
BRPRWS	B	R	P	R	W	S	0.0	0.0	504.14	0.0	16.62	33.24
BRPRWP	B	R	P	R	W	P	0.0	0.0	339.43	0.0	11.19	22.38
BRPRWM	B	R	P	R	W	M	0.0	1586.13	0.0	0.0	52.29	104.58
