var_id	var_name	var_value	var_reduced_cost	db_strata_tofind	db_row_id_tofind	db_status
3383	xEAr_P,R,6,W,C,3,1	1.98	0.0	C_EA_0_R	2	missing yield table
3384	xEAr_P,R,6,W,C,3,2	1.98	0.0	C_EA_0_R	2	missing yield table
3385	xEAr_P,R,6,W,C,4,1	1.98	0.0	C_EA_0_R	3	missing yield table
3386	xEAr_P,R,6,W,C,4,2	1.98	0.0	C_EA_0_R	3	missing yield table
3387	xEAr_P,R,6,W,C,4,3	1.97	0.0	C_EA_0_R	3	missing yield table
3388	xEAr_P,R,6,W,C,5,1	1.98	0.0	C_EA_0_R	4	missing yield table
3389	xEAr_P,R,6,W,C,5,2	1.98	0.0	C_EA_0_R	4	missing yield table
3390	xEAr_P,R,6,W,C,5,3	1.97	0.0	C_EA_0_R	4	missing yield table
3391	xEAr_P,R,6,W,C,5,4	1.97	0.0	C_EA_0_R	4	missing yield table
3442	xEAr_P,R,6,W,I,2,1	1.56	0.0	I_EA_0_R	1	missing yield table
3443	xEAr_P,R,6,W,I,3,1	1.56	0.0	I_EA_0_R	2	missing yield table
3444	xEAr_P,R,6,W,I,3,2	1.56	0.0	I_EA_0_R	2	missing yield table
3445	xEAr_P,R,6,W,I,4,1	1.56	0.0	I_EA_0_R	3	missing yield table
3446	xEAr_P,R,6,W,I,4,2	1.56	0.0	I_EA_0_R	3	missing yield table
3447	xEAr_P,R,6,W,I,4,3	1.56	0.0	I_EA_0_R	3	missing yield table
3448	xEAr_P,R,6,W,I,5,1	1.56	0.0	I_EA_0_R	4	missing yield table
3449	xEAr_P,R,6,W,I,5,2	1.56	0.0	I_EA_0_R	4	missing yield table
3450	xEAr_P,R,6,W,I,5,3	1.56	0.0	I_EA_0_R	4	missing yield table
3451	xEAr_P,R,6,W,I,5,4	1.55	0.0	I_EA_0_R	4	missing yield table
3522	xEAr_P,R,6,U,I,2,1	2.08	0.0	I_EA_0_R	1	missing yield table
3523	xEAr_P,R,6,U,I,3,1	2.08	0.0	I_EA_0_R	2	missing yield table
3524	xEAr_P,R,6,U,I,3,2	2.07	0.0	I_EA_0_R	2	missing yield table
3525	xEAr_P,R,6,U,I,4,1	2.08	0.0	I_EA_0_R	3	missing yield table
3526	xEAr_P,R,6,U,I,4,2	2.07	0.0	I_EA_0_R	3	missing yield table
3527	xEAr_P,R,6,U,I,4,3	2.07	0.0	I_EA_0_R	3	missing yield table
3528	xEAr_P,R,6,U,I,5,1	2.08	0.0	I_EA_0_R	4	missing yield table
3529	xEAr_P,R,6,U,I,5,2	2.07	0.0	I_EA_0_R	4	missing yield table
3530	xEAr_P,R,6,U,I,5,3	2.07	0.0	I_EA_0_R	4	missing yield table
3531	xEAr_P,R,6,U,I,5,4	2.07	0.0	I_EA_0_R	4	missing yield table
