action_list	layer_id	attribute_id	adjusted_percentage	
understory_burn_1	layer3	6	0.0	
understory_burn_2	layer3	6	0.0	
understory_burn_3	layer3	6	0.0	
weed_treatments	layer3	6	0.0	
artificial_regeneration	layer4	L	0.0	
broadcast_burn_1	layer4	L	0.0	
broadcast_burn_2	layer4	L	0.0	
broadcast_burn_3	layer4	L	0.0	
clear_cut_1	layer4	L	0.0	
clear_cut_2	layer4	L	0.0	
clear_cut_3	layer4	L	0.0	
commercial_thin_1	layer4	L	0.0	
commercial_thin_2	layer4	L	0.0	
commercial_thin_3	layer4	L	0.0	
group_openning_1	layer4	L	0.0	
group_openning_2	layer4	L	0.0	
group_openning_3	layer4	L	0.0	
no_action	layer4	L	0.0	
overstory_removal	layer4	L	0.0	
pre_commercial_thin_1	layer4	L	0.0	
pre_commercial_thin_2	layer4	L	0.0	
pre_commercial_thin_3	layer4	L	0.0	
seed_cut	layer4	L	0.0	
single_tree_openning	layer4	L	0.0	
tree_planting	layer4	L	0.0	
understory_burn_1	layer4	L	0.0	
understory_burn_2	layer4	L	0.0	
understory_burn_3	layer4	L	0.0	
weed_treatments	layer4	L	0.0	
artificial_regeneration	layer4	B	0.0	
broadcast_burn_1	layer4	B	0.0	
broadcast_burn_2	layer4	B	0.0	
broadcast_burn_3	layer4	B	0.0	
clear_cut_1	layer4	B	0.0	
clear_cut_2	layer4	B	0.0	
clear_cut_3	layer4	B	0.0	
commercial_thin_1	layer4	B	0.0	
commercial_thin_2	layer4	B	0.0	
commercial_thin_3	layer4	B	0.0	
group_openning_1	layer4	B	0.0	
group_openning_2	layer4	B	0.0	
group_openning_3	layer4	B	0.0	
no_action	layer4	B	0.0	
overstory_removal	layer4	B	0.0	
pre_commercial_thin_1	layer4	B	0.0	
pre_commercial_thin_2	layer4	B	0.0	
pre_commercial_thin_3	layer4	B	0.0	
seed_cut	layer4	B	0.0	
single_tree_openning	layer4	B	0.0	
tree_planting	layer4	B	0.0	
understory_burn_1	layer4	B	0.0	
understory_burn_2	layer4	B	0.0	
understory_burn_3	layer4	B	0.0	
weed_treatments	layer4	B	0.0	
artificial_regeneration	layer4	W	0.0	
broadcast_burn_1	layer4	W	0.0	
broadcast_burn_2	layer4	W	0.0	
broadcast_burn_3	layer4	W	0.0	
clear_cut_1	layer4	W	0.0	
clear_cut_2	layer4	W	0.0	
clear_cut_3	layer4	W	0.0	
commercial_thin_1	layer4	W	0.0	
commercial_thin_2	layer4	W	0.0	
commercial_thin_3	layer4	W	0.0	
group_openning_1	layer4	W	0.0	
group_openning_2	layer4	W	0.0	
group_openning_3	layer4	W	0.0	
no_action	layer4	W	0.0	
overstory_removal	layer4	W	0.0	
pre_commercial_thin_1	layer4	W	0.0	
pre_commercial_thin_2	layer4	W	0.0	
pre_commercial_thin_3	layer4	W	0.0	
seed_cut	layer4	W	0.0	
single_tree_openning	layer4	W	0.0	
tree_planting	layer4	W	0.0	
understory_burn_1	layer4	W	0.0	
understory_burn_2	layer4	W	0.0	
understory_burn_3	layer4	W	0.0	
weed_treatments	layer4	W	0.0	
artificial_regeneration	layer4	U	0.0	
broadcast_burn_1	layer4	U	0.0	
broadcast_burn_2	layer4	U	0.0	
broadcast_burn_3	layer4	U	0.0	
clear_cut_1	layer4	U	0.0	
clear_cut_2	layer4	U	0.0	
clear_cut_3	layer4	U	0.0	
commercial_thin_1	layer4	U	0.0	
commercial_thin_2	layer4	U	0.0	
commercial_thin_3	layer4	U	0.0	
group_openning_1	layer4	U	0.0	
group_openning_2	layer4	U	0.0	
group_openning_3	layer4	U	0.0	
no_action	layer4	U	0.0	
overstory_removal	layer4	U	0.0	
pre_commercial_thin_1	layer4	U	0.0	
pre_commercial_thin_2	layer4	U	0.0	
pre_commercial_thin_3	layer4	U	0.0	
seed_cut	layer4	U	0.0	
single_tree_openning	layer4	U	0.0	
tree_planting	layer4	U	0.0	
understory_burn_1	layer4	U	0.0	
understory_burn_2	layer4	U	0.0	
understory_burn_3	layer4	U	0.0	
weed_treatments	layer4	U	0.0	
artificial_regeneration	layer4	G	0.0	
broadcast_burn_1	layer4	G	0.0	
broadcast_burn_2	layer4	G	0.0	
broadcast_burn_3	layer4	G	0.0	
clear_cut_1	layer4	G	0.0	
clear_cut_2	layer4	G	0.0	
clear_cut_3	layer4	G	0.0	
commercial_thin_1	layer4	G	0.0	
commercial_thin_2	layer4	G	0.0	
commercial_thin_3	layer4	G	0.0	
group_openning_1	layer4	G	0.0	
group_openning_2	layer4	G	0.0	
group_openning_3	layer4	G	0.0	
no_action	layer4	G	0.0	
overstory_removal	layer4	G	0.0	
pre_commercial_thin_1	layer4	G	0.0	
pre_commercial_thin_2	layer4	G	0.0	
pre_commercial_thin_3	layer4	G	0.0	
seed_cut	layer4	G	0.0	
single_tree_openning	layer4	G	0.0	
tree_planting	layer4	G	0.0	
understory_burn_1	layer4	G	0.0	
understory_burn_2	layer4	G	0.0	
understory_burn_3	layer4	G	0.0	
weed_treatments	layer4	G	0.0	
artificial_regeneration	layer4	O	0.0	
broadcast_burn_1	layer4	O	0.0	
broadcast_burn_2	layer4	O	0.0	
broadcast_burn_3	layer4	O	0.0	
clear_cut_1	layer4	O	0.0	
clear_cut_2	layer4	O	0.0	
clear_cut_3	layer4	O	0.0	
commercial_thin_1	layer4	O	0.0	
commercial_thin_2	layer4	O	0.0	
commercial_thin_3	layer4	O	0.0	
group_openning_1	layer4	O	0.0	
group_openning_2	layer4	O	0.0	
group_openning_3	layer4	O	0.0	
no_action	layer4	O	0.0	
overstory_removal	layer4	O	0.0	
pre_commercial_thin_1	layer4	O	0.0	
pre_commercial_thin_2	layer4	O	0.0	
pre_commercial_thin_3	layer4	O	0.0	
seed_cut	layer4	O	0.0	
