Strata ID	Layer 1	Layer 2	Layer 3	Layer 4	Layer 5	Layer 6	Natural Growth (acres)	Prescribed Burn (acres)	Group Selection (acres)	Even Age (acres)
BNNCAP	B	N	N	C	A	P	64.0	0.0	0.0	0.0
BNNCAM	B	N	N	C	A	M	63.0	0.0	0.0	0.0
BNNCAL	B	N	N	C	A	L	335.0	0.0	0.0	0.0
BNNCLM	B	N	N	C	L	M	92.0	0.0	0.0	0.0
BNNCLL	B	N	N	C	L	L	181.0	0.0	0.0	0.0
BNNCNN	B	N	N	C	N	N	1279.0	0.0	0.0	0.0
BNNRPL	B	N	N	R	P	L	0.0	0.0	116.0	0.0
BNNRDL	B	N	N	R	D	L	0.0	0.0	0.0	77.0
BNNRWP	B	N	N	R	W	P	0.0	0.0	0.0	68.0
BNNRWM	B	N	N	R	W	M	0.0	0.0	0.0	291.0
BNNRWL	B	N	N	R	W	L	0.0	0.0	0.0	943.0
BNNRCM	B	N	N	R	C	M	0.0	355.0	0.0	0.0
BNNRCL	B	N	N	R	C	L	0.0	1707.0	0.0	0.0
BNNRNN	B	N	N	R	N	N	546.0	0.0	0.0	0.0
BNOHWL	B	N	O	H	W	L	0.0	0.0	0.0	287.0
BNOHCM	B	N	O	H	C	M	0.0	133.0	0.0	0.0
BNOHCL	B	N	O	H	C	L	0.0	675.0	0.0	0.0
BNORPL	B	N	O	R	P	L	0.0	0.0	127.0	0.0
BNORDM	B	N	O	R	D	M	0.0	0.0	0.0	90.0
BNORDL	B	N	O	R	D	L	0.0	0.0	0.0	171.0
BNORWP	B	N	O	R	W	P	0.0	0.0	0.0	70.0
BNORWM	B	N	O	R	W	M	0.0	0.0	0.0	162.0
BNORWL	B	N	O	R	W	L	0.0	0.0	0.0	1338.0
BNORCM	B	N	O	R	C	M	0.0	385.0	0.0	0.0
BNORCL	B	N	O	R	C	L	0.0	2401.0	0.0	0.0
BNORNN	B	N	O	R	N	N	177.0	0.0	0.0	0.0
BNPHWM	B	N	P	H	W	M	0.0	0.0	0.0	90.0
BNPHWL	B	N	P	H	W	L	0.0	0.0	0.0	245.0
BNPHCP	B	N	P	H	C	P	0.0	56.0	0.0	0.0
BNPHCM	B	N	P	H	C	M	0.0	135.0	0.0	0.0
BNPHCL	B	N	P	H	C	L	0.0	478.0	0.0	0.0
BNPHNN	B	N	P	H	N	N	142.0	0.0	0.0	0.0
BNPCCL	B	N	P	C	C	L	0.0	78.0	0.0	0.0
BNPRPL	B	N	P	R	P	L	0.0	0.0	77.0	0.0
BNPRDL	B	N	P	R	D	L	0.0	0.0	0.0	65.0
BNPRWP	B	N	P	R	W	P	0.0	0.0	0.0	62.0
BNPRWM	B	N	P	R	W	M	0.0	0.0	0.0	220.0
BNPRWL	B	N	P	R	W	L	0.0	0.0	0.0	742.0
BNPRCP	B	N	P	R	C	P	0.0	72.0	0.0	0.0
BNPRCM	B	N	P	R	C	M	0.0	323.0	0.0	0.0
BNPRCL	B	N	P	R	C	L	0.0	1246.0	0.0	0.0
BNPRAL	B	N	P	R	A	L	118.0	0.0	0.0	0.0
BNPRNN	B	N	P	R	N	N	55.0	0.0	0.0	0.0
BNSHWS	B	N	S	H	W	S	0.0	0.0	0.0	215.0
BNSHWP	B	N	S	H	W	P	0.0	0.0	0.0	113.0
BNSHWM	B	N	S	H	W	M	0.0	0.0	0.0	206.0
BNSHWL	B	N	S	H	W	L	0.0	0.0	0.0	974.0
BNSHCS	B	N	S	H	C	S	0.0	109.0	0.0	0.0
BNSHCP	B	N	S	H	C	P	0.0	65.0	0.0	0.0
BNSHCM	B	N	S	H	C	M	0.0	293.0	0.0	0.0
BNSHCL	B	N	S	H	C	L	0.0	1617.0	0.0	0.0
BNSHIL	B	N	S	H	I	L	0.0	57.0	0.0	0.0
BNSHLL	B	N	S	H	L	L	104.0	0.0	0.0	0.0
BNSHNN	B	N	S	H	N	N	67.0	0.0	0.0	0.0
BNSRPP	B	N	S	R	P	P	0.0	0.0	0.0	56.0
BNSRPL	B	N	S	R	P	L	0.0	0.0	645.0	0.0
BNSRDS	B	N	S	R	D	S	0.0	0.0	0.0	66.0
BNSRDP	B	N	S	R	D	P	0.0	0.0	0.0	80.0
BNSRDM	B	N	S	R	D	M	0.0	0.0	0.0	211.0
BNSRDL	B	N	S	R	D	L	0.0	0.0	0.0	495.0
BNSRWS	B	N	S	R	W	S	0.0	0.0	0.0	545.0
BNSRWP	B	N	S	R	W	P	0.0	0.0	0.0	657.0
BNSRWM	B	N	S	R	W	M	0.0	0.0	0.0	801.0
BNSRWL	B	N	S	R	W	L	0.0	0.0	0.0	5031.0
BNSRCS	B	N	S	R	C	S	0.0	183.0	0.0	0.0
BNSRCP	B	N	S	R	C	P	0.0	453.0	0.0	0.0
BNSRCM	B	N	S	R	C	M	0.0	1847.0	0.0	0.0
BNSRCL	B	N	S	R	C	L	0.0	8882.0	0.0	0.0
BNSRLL	B	N	S	R	L	L	88.0	0.0	0.0	0.0
BNSRNN	B	N	S	R	N	N	811.0	0.0	0.0	0.0
URNLCL	U	R	N	L	C	L	0.0	150.0	0.0	0.0
URNHWL	U	R	N	H	W	L	0.0	0.0	0.0	105.0
URNHCL	U	R	N	H	C	L	0.0	191.0	0.0	0.0
URNCWL	U	R	N	C	W	L	0.0	0.0	0.0	112.0
URNCCL	U	R	N	C	C	L	0.0	112.0	0.0	0.0
URNRCL	U	R	N	R	C	L	0.0	219.0	0.0	0.0
UROHCL	U	R	O	H	C	L	0.0	51.0	0.0	0.0
URORCL	U	R	O	R	C	L	0.0	103.0	0.0	0.0
URPHWL	U	R	P	H	W	L	0.0	0.0	0.0	114.0
URPHCL	U	R	P	H	C	L	0.0	314.0	0.0	0.0
URPRWS	U	R	P	R	W	S	0.0	0.0	0.0	58.0
URPRWP	U	R	P	R	W	P	0.0	0.0	0.0	59.0
URPRWL	U	R	P	R	W	L	0.0	0.0	0.0	404.0
URPRCM	U	R	P	R	C	M	0.0	75.0	0.0	0.0
URPRCL	U	R	P	R	C	L	0.0	963.0	0.0	0.0
UNNHWS	U	N	N	H	W	S	0.0	0.0	0.0	55.0
UNNHWL	U	N	N	H	W	L	0.0	0.0	0.0	76.0
UNNHCL	U	N	N	H	C	L	0.0	154.0	0.0	0.0
UNNRWL	U	N	N	R	W	L	0.0	0.0	0.0	117.0
UNNRCL	U	N	N	R	C	L	0.0	246.0	0.0	0.0
UNNRNN	U	N	N	R	N	N	63.0	0.0	0.0	0.0
UNOHWL	U	N	O	H	W	L	0.0	0.0	0.0	356.0
UNOHCL	U	N	O	H	C	L	0.0	830.0	0.0	0.0
UNORWL	U	N	O	R	W	L	0.0	0.0	0.0	296.0
UNORCM	U	N	O	R	C	M	0.0	81.0	0.0	0.0
UNORCL	U	N	O	R	C	L	0.0	953.0	0.0	0.0
UNPHWL	U	N	P	H	W	L	0.0	0.0	0.0	269.0
UNPHCL	U	N	P	H	C	L	0.0	508.0	0.0	0.0
UNPHAL	U	N	P	H	A	L	64.0	0.0	0.0	0.0
UNPHNN	U	N	P	H	N	N	70.0	0.0	0.0	0.0
UNPRWL	U	N	P	R	W	L	0.0	0.0	0.0	507.0
UNPRCS	U	N	P	R	C	S	0.0	56.0	0.0	0.0
UNPRCM	U	N	P	R	C	M	0.0	61.0	0.0	0.0
UNPRCL	U	N	P	R	C	L	0.0	1008.0	0.0	0.0
UNPRAL	U	N	P	R	A	L	104.0	0.0	0.0	0.0
UNSHWS	U	N	S	H	W	S	0.0	0.0	0.0	1166.0
UNSHWP	U	N	S	H	W	P	0.0	0.0	0.0	153.0
UNSHWM	U	N	S	H	W	M	0.0	0.0	0.0	231.0
UNSHWL	U	N	S	H	W	L	0.0	0.0	0.0	2199.0
UNSHCS	U	N	S	H	C	S	0.0	483.0	0.0	0.0
UNSHCP	U	N	S	H	C	P	0.0	180.0	0.0	0.0
UNSHCM	U	N	S	H	C	M	0.0	324.0	0.0	0.0
UNSHCL	U	N	S	H	C	L	0.0	4284.0	0.0	0.0
UNSHAS	U	N	S	H	A	S	188.0	0.0	0.0	0.0
UNSHAL	U	N	S	H	A	L	129.0	0.0	0.0	0.0
UNSHLL	U	N	S	H	L	L	147.0	0.0	0.0	0.0
UNSHNN	U	N	S	H	N	N	215.0	0.0	0.0	0.0
UNSRPL	U	N	S	R	P	L	0.0	0.0	78.0	0.0
UNSRDM	U	N	S	R	D	M	0.0	0.0	0.0	59.0
UNSRDL	U	N	S	R	D	L	0.0	0.0	0.0	99.0
UNSRWS	U	N	S	R	W	S	0.0	0.0	0.0	959.0
UNSRWP	U	N	S	R	W	P	0.0	0.0	0.0	167.0
UNSRWM	U	N	S	R	W	M	0.0	0.0	0.0	332.0
UNSRWL	U	N	S	R	W	L	0.0	0.0	0.0	2961.0
UNSRCS	U	N	S	R	C	S	0.0	290.0	0.0	0.0
UNSRCP	U	N	S	R	C	P	0.0	260.0	0.0	0.0
UNSRCM	U	N	S	R	C	M	0.0	597.0	0.0	0.0
UNSRCL	U	N	S	R	C	L	0.0	6804.0	0.0	0.0
UNSRAS	U	N	S	R	A	S	85.0	0.0	0.0	0.0
UNSRAL	U	N	S	R	A	L	75.0	0.0	0.0	0.0
UNSRLL	U	N	S	R	L	L	191.0	0.0	0.0	0.0
UNSRNN	U	N	S	R	N	N	552.0	0.0	0.0	0.0
KRNLPP	K	R	N	L	P	P	0.0	0.0	0.0	66.0
KRNLPM	K	R	N	L	P	M	0.0	0.0	0.0	1047.0
KRNLPL	K	R	N	L	P	L	0.0	0.0	206.0	0.0
KRNLDM	K	R	N	L	D	M	0.0	0.0	0.0	160.0
KRNLDL	K	R	N	L	D	L	0.0	0.0	0.0	176.0
KRNLWS	K	R	N	L	W	S	0.0	0.0	0.0	95.0
KRNLWP	K	R	N	L	W	P	0.0	0.0	0.0	469.0
KRNLWM	K	R	N	L	W	M	0.0	0.0	0.0	2193.0
KRNLWL	K	R	N	L	W	L	0.0	0.0	0.0	3758.0
KRNLCP	K	R	N	L	C	P	0.0	101.0	0.0	0.0
KRNLCM	K	R	N	L	C	M	0.0	1081.0	0.0	0.0
KRNLCL	K	R	N	L	C	L	0.0	2608.0	0.0	0.0
KRNLIS	K	R	N	L	I	S	0.0	284.0	0.0	0.0
KRNLIP	K	R	N	L	I	P	0.0	353.0	0.0	0.0
KRNLIM	K	R	N	L	I	M	0.0	1966.0	0.0	0.0
KRNLIL	K	R	N	L	I	L	0.0	3337.0	0.0	0.0
KRNLAS	K	R	N	L	A	S	71.0	0.0	0.0	0.0
KRNLAP	K	R	N	L	A	P	242.0	0.0	0.0	0.0
KRNLAM	K	R	N	L	A	M	833.0	0.0	0.0	0.0
KRNLAL	K	R	N	L	A	L	2798.0	0.0	0.0	0.0
KRNLLP	K	R	N	L	L	P	123.0	0.0	0.0	0.0
KRNLLM	K	R	N	L	L	M	651.0	0.0	0.0	0.0
KRNLLL	K	R	N	L	L	L	498.0	0.0	0.0	0.0
KRNLNN	K	R	N	L	N	N	1361.0	0.0	0.0	0.0
KRNHWL	K	R	N	H	W	L	0.0	0.0	0.0	61.0
KRNHCL	K	R	N	H	C	L	0.0	113.0	0.0	0.0
KRNCPP	K	R	N	C	P	P	0.0	0.0	0.0	544.0
KRNCPM	K	R	N	C	P	M	0.0	0.0	0.0	3086.0
KRNCPL	K	R	N	C	P	L	0.0	0.0	2882.0	0.0
KRNCDP	K	R	N	C	D	P	0.0	0.0	0.0	72.0
KRNCDM	K	R	N	C	D	M	0.0	0.0	0.0	489.0
KRNCDL	K	R	N	C	D	L	0.0	0.0	0.0	1326.0
KRNCWS	K	R	N	C	W	S	0.0	0.0	0.0	131.0
KRNCWP	K	R	N	C	W	P	0.0	0.0	0.0	306.0
KRNCWM	K	R	N	C	W	M	0.0	0.0	0.0	2219.0
KRNCWL	K	R	N	C	W	L	0.0	0.0	0.0	2857.0
KRNCCP	K	R	N	C	C	P	0.0	60.0	0.0	0.0
KRNCCM	K	R	N	C	C	M	0.0	539.0	0.0	0.0
KRNCCL	K	R	N	C	C	L	0.0	1620.0	0.0	0.0
KRNCIS	K	R	N	C	I	S	0.0	205.0	0.0	0.0
KRNCIP	K	R	N	C	I	P	0.0	319.0	0.0	0.0
KRNCIM	K	R	N	C	I	M	0.0	1841.0	0.0	0.0
KRNCIL	K	R	N	C	I	L	0.0	3099.0	0.0	0.0
KRNCAS	K	R	N	C	A	S	117.0	0.0	0.0	0.0
KRNCAP	K	R	N	C	A	P	101.0	0.0	0.0	0.0
KRNCAM	K	R	N	C	A	M	509.0	0.0	0.0	0.0
KRNCAL	K	R	N	C	A	L	1324.0	0.0	0.0	0.0
KRNCLM	K	R	N	C	L	M	356.0	0.0	0.0	0.0
KRNCLL	K	R	N	C	L	L	293.0	0.0	0.0	0.0
KRNCNN	K	R	N	C	N	N	5982.0	0.0	0.0	0.0
KRNRPP	K	R	N	R	P	P	0.0	0.0	0.0	698.0
KRNRPM	K	R	N	R	P	M	0.0	0.0	0.0	1184.0
KRNRPL	K	R	N	R	P	L	0.0	0.0	1337.0	0.0
KRNRDS	K	R	N	R	D	S	0.0	0.0	0.0	58.0
KRNRDP	K	R	N	R	D	P	0.0	0.0	0.0	85.0
KRNRDM	K	R	N	R	D	M	0.0	0.0	0.0	1040.0
KRNRDL	K	R	N	R	D	L	0.0	0.0	0.0	1749.0
KRNRWS	K	R	N	R	W	S	0.0	0.0	0.0	132.0
KRNRWM	K	R	N	R	W	M	0.0	0.0	0.0	370.0
KRNRWL	K	R	N	R	W	L	0.0	0.0	0.0	584.0
KRNRCM	K	R	N	R	C	M	0.0	112.0	0.0	0.0
KRNRCL	K	R	N	R	C	L	0.0	292.0	0.0	0.0
KRNRIP	K	R	N	R	I	P	0.0	151.0	0.0	0.0
KRNRIM	K	R	N	R	I	M	0.0	614.0	0.0	0.0
KRNRIL	K	R	N	R	I	L	0.0	1951.0	0.0	0.0
KRNRAM	K	R	N	R	A	M	121.0	0.0	0.0	0.0
KRNRAL	K	R	N	R	A	L	253.0	0.0	0.0	0.0
KRNRLM	K	R	N	R	L	M	63.0	0.0	0.0	0.0
KRNRLL	K	R	N	R	L	L	156.0	0.0	0.0	0.0
KRNRNN	K	R	N	R	N	N	4801.0	0.0	0.0	0.0
KROLPM	K	R	O	L	P	M	0.0	0.0	0.0	55.0
KROLWL	K	R	O	L	W	L	0.0	0.0	0.0	554.0
KROLCM	K	R	O	L	C	M	0.0	67.0	0.0	0.0
KROLCL	K	R	O	L	C	L	0.0	618.0	0.0	0.0
KROLIP	K	R	O	L	I	P	0.0	92.0	0.0	0.0
KROLIM	K	R	O	L	I	M	0.0	317.0	0.0	0.0
KROLIL	K	R	O	L	I	L	0.0	597.0	0.0	0.0
KROLAM	K	R	O	L	A	M	200.0	0.0	0.0	0.0
KROLAL	K	R	O	L	A	L	415.0	0.0	0.0	0.0
KROLLM	K	R	O	L	L	M	105.0	0.0	0.0	0.0
KROLLL	K	R	O	L	L	L	136.0	0.0	0.0	0.0
KROHWL	K	R	O	H	W	L	0.0	0.0	0.0	93.0
KROHCL	K	R	O	H	C	L	0.0	139.0	0.0	0.0
KROCPM	K	R	O	C	P	M	0.0	0.0	0.0	120.0
KROCPL	K	R	O	C	P	L	0.0	0.0	173.0	0.0
KROCDL	K	R	O	C	D	L	0.0	0.0	0.0	136.0
KROCWL	K	R	O	C	W	L	0.0	0.0	0.0	159.0
KROCCL	K	R	O	C	C	L	0.0	55.0	0.0	0.0
KROCIP	K	R	O	C	I	P	0.0	74.0	0.0	0.0
KROCIM	K	R	O	C	I	M	0.0	533.0	0.0	0.0
KROCIL	K	R	O	C	I	L	0.0	651.0	0.0	0.0
KROCAP	K	R	O	C	A	P	58.0	0.0	0.0	0.0
KROCAM	K	R	O	C	A	M	156.0	0.0	0.0	0.0
KROCAL	K	R	O	C	A	L	222.0	0.0	0.0	0.0
KROCLM	K	R	O	C	L	M	104.0	0.0	0.0	0.0
KROCLL	K	R	O	C	L	L	69.0	0.0	0.0	0.0
