Strata ID	Layer 1	Layer 2	Layer 3	Layer 4	Layer 5	Layer 6	Total area (acres)	Methods for Implementation	
BRPRDL	B	R	P	R	D	L	1188	This strata is in the model, all methods are allowed	
BRPRDM	B	R	P	R	D	M	344	This strata is in the model, all methods are allowed	
BRPRDP	B	R	P	R	D	P	138	This strata is in the model, all methods are allowed	
BRPRDS	B	R	P	R	D	S	277	This strata is in the model, all methods are allowed	
BRPRIL	B	R	P	R	I	L	92	This strata is in the model, all methods are allowed	
BRPRIP	B	R	P	R	I	P	55	This strata is in the model, all methods are allowed	
BRPRLL	B	R	P	R	L	L	81	This strata is in the model, all methods are allowed	
BRPRNN	B	R	P	R	N	N	166	This strata is in the model, all methods are allowed	
BRPRPL	B	R	P	R	P	L	481	This strata is in the model, all methods are allowed	
BRPRPM	B	R	P	R	P	M	162	This strata is in the model, all methods are allowed	
BRPRPP	B	R	P	R	P	P	70	This strata is in the model, all methods are allowed	
BRPRPS	B	R	P	R	P	S	57	This strata is in the model, all methods are allowed	
BRPRWL	B	R	P	R	W	L	5277	This strata is in the model, all methods are allowed	
BRPRWM	B	R	P	R	W	M	1743	This strata is in the model, all methods are allowed	
BRPRWP	B	R	P	R	W	P	373	This strata is in the model, all methods are allowed	
BRPRWS	B	R	P	R	W	S	554	This strata is in the model, all methods are allowed	
CNNCAL	C	N	N	C	A	L	13028	This strata is in the model, all methods are allowed	
CNNCAM	C	N	N	C	A	M	28537	This strata is in the model, all methods are allowed	
CNNCAP	C	N	N	C	A	P	27072	This strata is in the model, all methods are allowed	
CNNCAS	C	N	N	C	A	S	292	This strata is in the model, all methods are allowed	
CNNCCL	C	N	N	C	C	L	3782	This strata is in the model, all methods are allowed	
CNNCCM	C	N	N	C	C	M	755	This strata is in the model, all methods are allowed	
CNNCCP	C	N	N	C	C	P	395	This strata is in the model, all methods are allowed	
CNNCCS	C	N	N	C	C	S	71	This strata is in the model, all methods are allowed	
CNNCDL	C	N	N	C	D	L	1562	This strata is in the model, all methods are allowed	
CNNCDM	C	N	N	C	D	M	636	This strata is in the model, all methods are allowed	
CNNCDP	C	N	N	C	D	P	123	This strata is in the model, all methods are allowed	
CNNCDS	C	N	N	C	D	S	154	This strata is in the model, all methods are allowed	
CNNCIL	C	N	N	C	I	L	8449	This strata is in the model, all methods are allowed	
CNNCIM	C	N	N	C	I	M	14243	This strata is in the model, all methods are allowed	
CNNCIP	C	N	N	C	I	P	7732	This strata is in the model, all methods are allowed	
CNNCIS	C	N	N	C	I	S	731	This strata is in the model, all methods are allowed	
CNNCLL	C	N	N	C	L	L	3055	This strata is in the model, all methods are allowed	
CNNCLM	C	N	N	C	L	M	9430	This strata is in the model, all methods are allowed	
CNNCLP	C	N	N	C	L	P	9579	This strata is in the model, all methods are allowed	
CNNCNM	C	N	N	C	N	M	129	This strata is in the model, all methods are allowed	
CNNCNN	C	N	N	C	N	N	77113	This strata is in the model, all methods are allowed	
CNNCPL	C	N	N	C	P	L	3182	This strata is in the model, all methods are allowed	
CNNCPM	C	N	N	C	P	M	3068	This strata is in the model, all methods are allowed	
CNNCPP	C	N	N	C	P	P	291	This strata is in the model, all methods are allowed	
CNNCPS	C	N	N	C	P	S	240	This strata is in the model, all methods are allowed	
CNNCWL	C	N	N	C	W	L	3931	This strata is in the model, all methods are allowed	
CNNCWM	C	N	N	C	W	M	2908	This strata is in the model, all methods are allowed	
CNNCWP	C	N	N	C	W	P	749	This strata is in the model, all methods are allowed	
CNNCWS	C	N	N	C	W	S	118	This strata is in the model, all methods are allowed	
CNNHAL	C	N	N	H	A	L	997	This strata is in the model, all methods are allowed	
CNNHAM	C	N	N	H	A	M	907	This strata is in the model, all methods are allowed	
CNNHAP	C	N	N	H	A	P	861	This strata is in the model, all methods are allowed	
CNNHIL	C	N	N	H	I	L	1058	This strata is in the model, all methods are allowed	
CNNHIM	C	N	N	H	I	M	925	This strata is in the model, all methods are allowed	
CNNHIP	C	N	N	H	I	P	484	This strata is in the model, all methods are allowed	
CNNHLL	C	N	N	H	L	L	724	This strata is in the model, all methods are allowed	
CNNHLM	C	N	N	H	L	M	390	This strata is in the model, all methods are allowed	
CNNHLP	C	N	N	H	L	P	316	This strata is in the model, all methods are allowed	
CNNHNN	C	N	N	H	N	N	153	This strata is in the model, all methods are allowed	
CNNHWL	C	N	N	H	W	L	142	This strata is in the model, all methods are allowed	
CNNLAL	C	N	N	L	A	L	33323	This strata is in the model, all methods are allowed	
CNNLAM	C	N	N	L	A	M	56955	This strata is in the model, all methods are allowed	
CNNLAP	C	N	N	L	A	P	38935	This strata is in the model, all methods are allowed	
CNNLAS	C	N	N	L	A	S	1116	This strata is in the model, all methods are allowed	
CNNLCL	C	N	N	L	C	L	5270	This strata is in the model, all methods are allowed	
CNNLCM	C	N	N	L	C	M	1025	This strata is in the model, all methods are allowed	
CNNLCP	C	N	N	L	C	P	473	This strata is in the model, all methods are allowed	
CNNLCS	C	N	N	L	C	S	200	This strata is in the model, all methods are allowed	
CNNLDL	C	N	N	L	D	L	1744	This strata is in the model, all methods are allowed	
CNNLDM	C	N	N	L	D	M	666	This strata is in the model, all methods are allowed	
CNNLDP	C	N	N	L	D	P	51	This strata is in the model, all methods are allowed	
CNNLDS	C	N	N	L	D	S	184	This strata is in the model, all methods are allowed	
CNNLIL	C	N	N	L	I	L	19303	This strata is in the model, all methods are allowed	
CNNLIM	C	N	N	L	I	M	32817	This strata is in the model, all methods are allowed	
CNNLIP	C	N	N	L	I	P	14895	This strata is in the model, all methods are allowed	
CNNLIS	C	N	N	L	I	S	1863	This strata is in the model, all methods are allowed	
CNNLLL	C	N	N	L	L	L	6453	This strata is in the model, all methods are allowed	
CNNLLM	C	N	N	L	L	M	23216	This strata is in the model, all methods are allowed	
CNNLLP	C	N	N	L	L	P	17277	This strata is in the model, all methods are allowed	
CNNLNL	C	N	N	L	N	L	94	This strata is in the model, all methods are allowed	
CNNLNM	C	N	N	L	N	M	151	This strata is in the model, all methods are allowed	
CNNLNN	C	N	N	L	N	N	55416	This strata is in the model, all methods are allowed	
CNNLPL	C	N	N	L	P	L	1803	This strata is in the model, all methods are allowed	
CNNLPM	C	N	N	L	P	M	2528	This strata is in the model, all methods are allowed	
CNNLPP	C	N	N	L	P	P	370	This strata is in the model, all methods are allowed	
CNNLPS	C	N	N	L	P	S	110	This strata is in the model, all methods are allowed	
CNNLWL	C	N	N	L	W	L	7496	This strata is in the model, all methods are allowed	
CNNLWM	C	N	N	L	W	M	5075	This strata is in the model, all methods are allowed	
CNNLWP	C	N	N	L	W	P	1715	This strata is in the model, all methods are allowed	
CNNLWS	C	N	N	L	W	S	331	This strata is in the model, all methods are allowed	
CNNRAL	C	N	N	R	A	L	1237	This strata is in the model, all methods are allowed	
CNNRAM	C	N	N	R	A	M	2226	This strata is in the model, all methods are allowed	
CNNRAP	C	N	N	R	A	P	1865	This strata is in the model, all methods are allowed	
CNNRAS	C	N	N	R	A	S	206	This strata is in the model, all methods are allowed	
CNNRIL	C	N	N	R	I	L	1061	This strata is in the model, all methods are allowed	
CNNRIM	C	N	N	R	I	M	1499	This strata is in the model, all methods are allowed	
CNNRIP	C	N	N	R	I	P	836	This strata is in the model, all methods are allowed	
CNNRIS	C	N	N	R	I	S	213	This strata is in the model, all methods are allowed	
CNNRLL	C	N	N	R	L	L	638	This strata is in the model, all methods are allowed	
CNNRLM	C	N	N	R	L	M	794	This strata is in the model, all methods are allowed	
CNNRLP	C	N	N	R	L	P	597	This strata is in the model, all methods are allowed	
CNNRNN	C	N	N	R	N	N	1239	This strata is in the model, all methods are allowed	
CNNRWL	C	N	N	R	W	L	152	This strata is in the model, all methods are allowed	
CNNRWM	C	N	N	R	W	M	103	This strata is in the model, all methods are allowed	
CNOCAL	C	N	O	C	A	L	120	This strata is in the model, all methods are allowed	
