index	name	value	reduced_cost
534	x_B,R,P,C,W,M,4	8.0	0.0
535	x_B,R,P,C,W,L,0	1108.65	0.0
539	x_B,R,P,C,W,L,4	58.35	0.0
543	x_B,R,P,C,C,S,3	372.4	0.0
544	x_B,R,P,C,C,S,4	19.6	0.0
548	x_B,R,P,C,C,P,3	60.8	0.0
549	x_B,R,P,C,C,P,4	3.2	0.0
552	x_B,R,P,C,C,M,2	208.05	0.0
554	x_B,R,P,C,C,M,4	10.95	0.0
556	x_B,R,P,C,C,L,1	1003.2	0.0
559	x_B,R,P,C,C,L,4	52.8	0.0
563	x_B,R,P,C,I,S,3	57.95	0.0
564	x_B,R,P,C,I,S,4	3.05	0.0
567	x_B,R,P,C,I,L,2	158.65	0.0
569	x_B,R,P,C,I,L,4	8.35	0.0
573	x_B,R,P,C,A,S,3	73.15	0.0
574	x_B,R,P,C,A,S,4	3.85	0.0
577	x_B,R,P,C,A,L,2	81.7	0.0
579	x_B,R,P,C,A,L,4	4.3	0.0
583	x_B,R,P,R,P,S,3	54.15	0.0
584	x_B,R,P,R,P,S,4	2.85	0.0
587	x_B,R,P,R,P,M,2	153.9	0.0
589	x_B,R,P,R,P,M,4	8.1	0.0
590	x_B,R,P,R,P,L,0	456.95	0.0
594	x_B,R,P,R,P,L,4	24.05	0.0
598	x_B,R,P,R,D,S,3	263.15	0.0
599	x_B,R,P,R,D,S,4	13.85	0.0
600	x_B,R,P,R,D,M,0	326.8	0.0
604	x_B,R,P,R,D,M,4	17.2	0.0
606	x_B,R,P,R,D,L,1	1128.6	0.0
609	x_B,R,P,R,D,L,4	59.4	0.0
613	x_B,R,P,R,W,S,3	526.3	0.0
614	x_B,R,P,R,W,S,4	27.7	0.0
618	x_B,R,P,R,W,P,3	354.35	0.0
619	x_B,R,P,R,W,P,4	18.65	0.0
622	x_B,R,P,R,W,M,2	1655.85	0.0
624	x_B,R,P,R,W,M,4	87.15	0.0
627	x_B,R,P,R,W,L,2	5013.15	0.0
629	x_B,R,P,R,W,L,4	263.85	0.0
633	x_B,R,P,R,C,S,3	379.05	0.0
634	x_B,R,P,R,C,S,4	19.95	0.0
638	x_B,R,P,R,C,P,3	374.3	0.0
639	x_B,R,P,R,C,P,4	19.7	0.0
640	x_B,R,P,R,C,M,0	2477.6	0.0
644	x_B,R,P,R,C,M,4	130.4	0.0
646	x_B,R,P,R,C,L,1	7208.6	0.0
649	x_B,R,P,R,C,L,4	379.4	0.0
653	x_B,R,P,R,I,P,3	52.25	0.0
654	x_B,R,P,R,I,P,4	2.75	0.0
655	x_B,R,P,R,I,L,0	87.4	0.0
659	x_B,R,P,R,I,L,4	4.6	0.0
660	x_B,R,P,R,A,L,0	49.4	0.0
664	x_B,R,P,R,A,L,4	2.6	0.0
665	x_B,R,P,R,L,L,0	76.95	0.0
669	x_B,R,P,R,L,L,4	4.05	0.0
672	x_B,N,N,L,P,L,2	87.4	0.0
674	x_B,N,N,L,P,L,4	4.6	0.0
675	x_B,N,N,L,D,L,0	55.1	0.0
679	x_B,N,N,L,D,L,4	2.9	0.0
683	x_B,N,N,L,W,S,3	71.25	0.0
684	x_B,N,N,L,W,S,4	3.75	0.0
688	x_B,N,N,L,W,P,3	60.8	0.0
689	x_B,N,N,L,W,P,4	3.2	0.0
692	x_B,N,N,L,W,M,2	320.15	0.0
694	x_B,N,N,L,W,M,4	16.85	0.0
697	x_B,N,N,L,W,L,2	1086.8	0.0
699	x_B,N,N,L,W,L,4	57.2	0.0
703	x_B,N,N,L,C,S,3	95.0	0.0
704	x_B,N,N,L,C,S,4	5.0	0.0
707	x_B,N,N,L,C,M,2	376.2	0.0
709	x_B,N,N,L,C,M,4	19.8	0.0
710	x_B,N,N,L,C,L,0	1326.2	0.0
714	x_B,N,N,L,C,L,4	69.8	0.0
718	x_B,N,N,L,I,S,3	133.0	0.0
719	x_B,N,N,L,I,S,4	7.0	0.0
720	x_B,N,N,L,I,M,0	206.15	0.0
724	x_B,N,N,L,I,M,4	10.85	0.0
725	x_B,N,N,L,I,L,0	229.9	0.0
729	x_B,N,N,L,I,L,4	12.1	0.0
733	x_B,N,N,L,A,S,3	81.7	0.0
734	x_B,N,N,L,A,S,4	4.3	0.0
737	x_B,N,N,L,A,M,2	149.15	0.0
739	x_B,N,N,L,A,M,4	7.85	0.0
742	x_B,N,N,L,A,L,2	359.1	0.0
744	x_B,N,N,L,A,L,4	18.9	0.0
745	x_B,N,N,L,L,M,0	71.25	0.0
749	x_B,N,N,L,L,M,4	3.75	0.0
750	x_B,N,N,H,C,L,0	67.45	0.0
754	x_B,N,N,H,C,L,4	3.55	0.0
