Strata ID	Layer 1	Layer 2	Layer 3	Layer 4	Layer 5	Layer 6	Total area (acres)	Methods for Implementation	
BNNLWL	B	N	N	L	W	L	1144	GS PB 	
BNNLWM	B	N	N	L	W	M	337	GS PB 	
BNNLWP	B	N	N	L	W	P	64	GS PB 	
BNNLWS	B	N	N	L	W	S	75	GS PB 	
BNNRCL	B	N	N	R	C	L	1707	GS PB 	
BNNRCM	B	N	N	R	C	M	355	GS PB 	
BNNRDL	B	N	N	R	D	L	77	GS PB 	
BNNRNN	B	N	N	R	N	N	546	GS PB 	
BNNRPL	B	N	N	R	P	L	116	GS PB 	
BNNRWL	B	N	N	R	W	L	943	GS PB 	
BNNRWM	B	N	N	R	W	M	291	GS PB 	
BNNRWP	B	N	N	R	W	P	68	GS PB 	
BNOHCL	B	N	O	H	C	L	675	GS PB 	
BNOHCM	B	N	O	H	C	M	133	GS PB 	
BNOHWL	B	N	O	H	W	L	287	GS PB 	
BNORCL	B	N	O	R	C	L	2401	GS PB 	
BNORCM	B	N	O	R	C	M	385	GS PB 	
BNORDL	B	N	O	R	D	L	171	GS PB 	
BNORDM	B	N	O	R	D	M	90	GS PB 	
BNORNN	B	N	O	R	N	N	177	GS PB 	
BNORPL	B	N	O	R	P	L	127	GS PB 	
BNORWL	B	N	O	R	W	L	1338	GS PB 	
BNORWM	B	N	O	R	W	M	162	GS PB 	
BNORWP	B	N	O	R	W	P	70	GS PB 	
BNPCCL	B	N	P	C	C	L	78	GS PB 	
BNPHCL	B	N	P	H	C	L	478	GS PB 	
BNPHCM	B	N	P	H	C	M	135	GS PB 	
BNPHCP	B	N	P	H	C	P	56	GS PB 	
BNPHNN	B	N	P	H	N	N	142	GS PB 	
BNPHWL	B	N	P	H	W	L	245	GS PB 	
BNPHWM	B	N	P	H	W	M	90	GS PB 	
BNPRAL	B	N	P	R	A	L	118	GS PB 	
BNPRCL	B	N	P	R	C	L	1246	GS PB 	
BNPRCM	B	N	P	R	C	M	323	GS PB 	
BNPRCP	B	N	P	R	C	P	72	GS PB 	
BNPRDL	B	N	P	R	D	L	65	GS PB 	
BNPRNN	B	N	P	R	N	N	55	GS PB 	
BNPRPL	B	N	P	R	P	L	77	GS PB 	
BNPRWL	B	N	P	R	W	L	742	GS PB 	
BNPRWM	B	N	P	R	W	M	220	GS PB 	
BNPRWP	B	N	P	R	W	P	62	GS PB 	
BNSHCL	B	N	S	H	C	L	1617	GS PB 	
BNSHCM	B	N	S	H	C	M	293	GS PB 	
BNSHCP	B	N	S	H	C	P	65	GS PB 	
BNSHCS	B	N	S	H	C	S	109	GS PB 	
BNSHIL	B	N	S	H	I	L	57	GS PB 	
BNSHLL	B	N	S	H	L	L	104	GS PB 	
BNSHNN	B	N	S	H	N	N	67	GS PB 	
BNSHWL	B	N	S	H	W	L	974	GS PB 	
BNSHWM	B	N	S	H	W	M	206	GS PB 	
BNSHWP	B	N	S	H	W	P	113	GS PB 	
BNSHWS	B	N	S	H	W	S	215	GS PB 	
BNSRCL	B	N	S	R	C	L	8882	GS PB 	
BNSRCM	B	N	S	R	C	M	1847	GS PB 	
BNSRCP	B	N	S	R	C	P	453	GS PB 	
BNSRCS	B	N	S	R	C	S	183	GS PB 	
BNSRDL	B	N	S	R	D	L	495	GS PB 	
BNSRDM	B	N	S	R	D	M	211	GS PB 	
BNSRDP	B	N	S	R	D	P	80	GS PB 	
BNSRDS	B	N	S	R	D	S	66	GS PB 	
BNSRLL	B	N	S	R	L	L	88	GS PB 	
BNSRNN	B	N	S	R	N	N	811	GS PB 	
BNSRPL	B	N	S	R	P	L	645	GS PB 	
BNSRPP	B	N	S	R	P	P	56	GS PB 	
BNSRWL	B	N	S	R	W	L	5031	GS PB 	
BNSRWM	B	N	S	R	W	M	801	GS PB 	
BNSRWP	B	N	S	R	W	P	657	GS PB 	
BNSRWS	B	N	S	R	W	S	545	GS PB 	
BRNCAL	B	R	N	C	A	L	137	GS PB 	
BRNCAM	B	R	N	C	A	M	113	GS PB 	
BRNCCL	B	R	N	C	C	L	4702	GS PB 	
BRNCCM	B	R	N	C	C	M	987	GS PB 	
BRNCCP	B	R	N	C	C	P	194	GS PB 	
BRNCCS	B	R	N	C	C	S	104	GS PB 	
BRNCDL	B	R	N	C	D	L	542	GS PB 	
BRNCDM	B	R	N	C	D	M	377	GS PB 	
BRNCDP	B	R	N	C	D	P	56	GS PB 	
BRNCIL	B	R	N	C	I	L	239	GS PB 	
BRNCIM	B	R	N	C	I	M	79	GS PB 	
BRNCLL	B	R	N	C	L	L	140	GS PB 	
BRNCLM	B	R	N	C	L	M	161	GS PB 	
BRNCNN	B	R	N	C	N	N	1412	GS PB 	
BRNCPL	B	R	N	C	P	L	837	GS PB 	
BRNCPM	B	R	N	C	P	M	442	GS PB 	
BRNCPP	B	R	N	C	P	P	55	GS PB 	
BRNCWL	B	R	N	C	W	L	3076	GS PB 	
BRNCWM	B	R	N	C	W	M	1750	GS PB 	
BRNCWP	B	R	N	C	W	P	260	GS PB 	
BRNCWS	B	R	N	C	W	S	163	GS PB 	
BRNHAM	B	R	N	H	A	M	57	GS PB 	
BRNHCL	B	R	N	H	C	L	1019	GS PB 	
BRNHCM	B	R	N	H	C	M	509	GS PB 	
BRNHCP	B	R	N	H	C	P	58	GS PB 	
BRNHLM	B	R	N	H	L	M	118	GS PB 	
BRNHWL	B	R	N	H	W	L	706	GS PB 	
BRNHWM	B	R	N	H	W	M	409	GS PB 	
BRNHWP	B	R	N	H	W	P	129	GS PB 	
BRNLAL	B	R	N	L	A	L	310	GS PB 	
BRNLAM	B	R	N	L	A	M	195	GS PB 	
BRNLCL	B	R	N	L	C	L	1571	GS PB 	
BRNLCM	B	R	N	L	C	M	761	GS PB 	
BRNLCP	B	R	N	L	C	P	80	GS PB 	
BRNLDL	B	R	N	L	D	L	61	GS PB 	
BRNLDM	B	R	N	L	D	M	107	GS PB 	
BRNLIL	B	R	N	L	I	L	113	GS PB 	
BRNLIM	B	R	N	L	I	M	112	GS PB 	
BRNLLM	B	R	N	L	L	M	67	GS PB 	
BRNLNN	B	R	N	L	N	N	779	GS PB 	
BRNLWL	B	R	N	L	W	L	1333	GS PB 	
BRNLWM	B	R	N	L	W	M	938	GS PB 	
BRNLWP	B	R	N	L	W	P	106	GS PB 	
BRNRAL	B	R	N	R	A	L	79	GS PB 	
BRNRCL	B	R	N	R	C	L	2381	GS PB 	
BRNRCM	B	R	N	R	C	M	760	GS PB 	
BRNRCP	B	R	N	R	C	P	111	GS PB 	
BRNRDL	B	R	N	R	D	L	314	GS PB 	
BRNRDM	B	R	N	R	D	M	120	GS PB 	
BRNRLL	B	R	N	R	L	L	56	GS PB 	
BRNRNN	B	R	N	R	N	N	1135	GS PB 	
BRNRPL	B	R	N	R	P	L	68	GS PB 	
BRNRPM	B	R	N	R	P	M	136	GS PB 	
BRNRWL	B	R	N	R	W	L	1929	GS PB 	
BRNRWM	B	R	N	R	W	M	606	GS PB 	
BRNRWP	B	R	N	R	W	P	128	GS PB 	
BRNRWS	B	R	N	R	W	S	61	GS PB 	
BROCCL	B	R	O	C	C	L	311	GS PB 	
BROCCM	B	R	O	C	C	M	51	GS PB 	
BROCCS	B	R	O	C	C	S	78	GS PB 	
BROCDL	B	R	O	C	D	L	128	GS PB 	
BROCPL	B	R	O	C	P	L	83	GS PB 	
BROCWL	B	R	O	C	W	L	335	GS PB 	
BROCWM	B	R	O	C	W	M	66	GS PB 	
BROHCL	B	R	O	H	C	L	168	GS PB 	
BROLCL	B	R	O	L	C	L	65	GS PB 	
BRORCL	B	R	O	R	C	L	1611	GS PB 	
BRORCM	B	R	O	R	C	M	360	GS PB 	
BRORCP	B	R	O	R	C	P	70	GS PB 	
BRORCS	B	R	O	R	C	S	58	GS PB 	
BRORDL	B	R	O	R	D	L	248	GS PB 	
BRORNN	B	R	O	R	N	N	86	GS PB 	
BRORPL	B	R	O	R	P	L	82	GS PB 	
BRORWL	B	R	O	R	W	L	1268	GS PB 	
BRORWM	B	R	O	R	W	M	246	GS PB 	
BRORWP	B	R	O	R	W	P	63	GS PB 	
BRORWS	B	R	O	R	W	S	60	GS PB 	
BRPCAL	B	R	P	C	A	L	86	GS PB 	
BRPCAS	B	R	P	C	A	S	77	GS PB 	
BRPCCL	B	R	P	C	C	L	1056	GS PB 	
BRPCCM	B	R	P	C	C	M	219	GS PB 	
BRPCCP	B	R	P	C	C	P	64	GS PB 	
BRPCCS	B	R	P	C	C	S	392	GS PB 	
BRPCDL	B	R	P	C	D	L	217	GS PB 	
BRPCDS	B	R	P	C	D	S	67	GS PB 	
BRPCIL	B	R	P	C	I	L	167	GS PB 	
BRPCIS	B	R	P	C	I	S	61	GS PB 	
BRPCNN	B	R	P	C	N	N	123	GS PB 	
BRPCPL	B	R	P	C	P	L	293	GS PB 	
BRPCPS	B	R	P	C	P	S	53	GS PB 	
BRPCWL	B	R	P	C	W	L	1167	GS PB 	
BRPCWM	B	R	P	C	W	M	160	GS PB 	
BRPCWP	B	R	P	C	W	P	277	GS PB 	
BRPCWS	B	R	P	C	W	S	464	GS PB 	
BRPHCL	B	R	P	H	C	L	644	GS PB 	
BRPHCM	B	R	P	H	C	M	333	GS PB 	
BRPHLL	B	R	P	H	L	L	79	GS PB 	
BRPHWL	B	R	P	H	W	L	324	GS PB 	
BRPHWM	B	R	P	H	W	M	203	GS PB 	
BRPHWP	B	R	P	H	W	P	76	GS PB 	
BRPLAL	B	R	P	L	A	L	85	GS PB 	
BRPLAM	B	R	P	L	A	M	77	GS PB 	
BRPLCL	B	R	P	L	C	L	471	GS PB 	
BRPLCM	B	R	P	L	C	M	85	GS PB 	
BRPLCP	B	R	P	L	C	P	53	GS PB 	
BRPLCS	B	R	P	L	C	S	155	GS PB 	
BRPLIL	B	R	P	L	I	L	72	GS PB 	
BRPLWL	B	R	P	L	W	L	424	GS PB 	
BRPLWM	B	R	P	L	W	M	68	GS PB 	
BRPLWP	B	R	P	L	W	P	85	GS PB 	
BRPLWS	B	R	P	L	W	S	139	GS PB 	
BRPRAL	B	R	P	R	A	L	52	GS PB 	
BRPRCL	B	R	P	R	C	L	7588	GS PB 	
BRPRCM	B	R	P	R	C	M	2608	GS PB 	
BRPRCP	B	R	P	R	C	P	394	GS PB 	
BRPRCS	B	R	P	R	C	S	399	GS PB 	
BRPRDL	B	R	P	R	D	L	1188	GS PB 	
BRPRDM	B	R	P	R	D	M	344	GS PB 	
BRPRDP	B	R	P	R	D	P	138	GS PB 	
BRPRDS	B	R	P	R	D	S	277	GS PB 	
BRPRIL	B	R	P	R	I	L	92	GS PB 	
BRPRIP	B	R	P	R	I	P	55	GS PB 	
BRPRLL	B	R	P	R	L	L	81	GS PB 	
BRPRNN	B	R	P	R	N	N	166	GS PB 	
BRPRPL	B	R	P	R	P	L	481	GS PB 	
BRPRPM	B	R	P	R	P	M	162	GS PB 	
BRPRPP	B	R	P	R	P	P	70	GS PB 	
BRPRPS	B	R	P	R	P	S	57	GS PB 	
BRPRWL	B	R	P	R	W	L	5277	GS PB 	
BRPRWM	B	R	P	R	W	M	1743	GS PB 	
BRPRWP	B	R	P	R	W	P	373	GS PB 	
BRPRWS	B	R	P	R	W	S	554	GS PB 	
CNNCAL	C	N	N	C	A	L	13028	GS PB 	
CNNCAM	C	N	N	C	A	M	28537	GS PB 	
CNNCAP	C	N	N	C	A	P	27072	GS PB 	
CNNCAS	C	N	N	C	A	S	292	GS PB 	
CNNCCL	C	N	N	C	C	L	3782	GS PB 	
CNNCCM	C	N	N	C	C	M	755	GS PB 	
CNNCCP	C	N	N	C	C	P	395	GS PB 	
CNNCCS	C	N	N	C	C	S	71	GS PB 	
CNNCDL	C	N	N	C	D	L	1562	GS PB 	
CNNCDM	C	N	N	C	D	M	636	GS PB 	
CNNCDP	C	N	N	C	D	P	123	GS PB 	
CNNCDS	C	N	N	C	D	S	154	GS PB 	
CNNCIL	C	N	N	C	I	L	8449	GS PB 	
CNNCIM	C	N	N	C	I	M	14243	GS PB 	
CNNCIP	C	N	N	C	I	P	7732	GS PB 	
CNNCIS	C	N	N	C	I	S	731	GS PB 	
CNNCLL	C	N	N	C	L	L	3055	GS PB 	
CNNCLM	C	N	N	C	L	M	9430	GS PB 	
CNNCLP	C	N	N	C	L	P	9579	GS PB 	
CNNCNM	C	N	N	C	N	M	129	GS PB 	
CNNCNN	C	N	N	C	N	N	77113	GS PB 	
CNNCPL	C	N	N	C	P	L	3182	GS PB 	
CNNCPM	C	N	N	C	P	M	3068	GS PB 	
CNNCPP	C	N	N	C	P	P	291	GS PB 	
CNNCPS	C	N	N	C	P	S	240	GS PB 	
CNNCWL	C	N	N	C	W	L	3931	GS PB 	
CNNCWM	C	N	N	C	W	M	2908	GS PB 	
CNNCWP	C	N	N	C	W	P	749	GS PB 	
CNNCWS	C	N	N	C	W	S	118	GS PB 	
CNNHAL	C	N	N	H	A	L	997	GS PB 	
CNNHAM	C	N	N	H	A	M	907	GS PB 	
CNNHAP	C	N	N	H	A	P	861	GS PB 	
CNNHIL	C	N	N	H	I	L	1058	GS PB 	
CNNHIM	C	N	N	H	I	M	925	GS PB 	
CNNHIP	C	N	N	H	I	P	484	GS PB 	
CNNHLL	C	N	N	H	L	L	724	GS PB 	
CNNHLM	C	N	N	H	L	M	390	GS PB 	
CNNHLP	C	N	N	H	L	P	316	GS PB 	
CNNHNN	C	N	N	H	N	N	153	GS PB 	
CNNHWL	C	N	N	H	W	L	142	GS PB 	
CNNLAL	C	N	N	L	A	L	33323	GS PB 	
CNNLAM	C	N	N	L	A	M	56955	GS PB 	
CNNLAP	C	N	N	L	A	P	38935	GS PB 	
CNNLAS	C	N	N	L	A	S	1116	GS PB 	
CNNLCL	C	N	N	L	C	L	5270	GS PB 	
CNNLCM	C	N	N	L	C	M	1025	GS PB 	
CNNLCP	C	N	N	L	C	P	473	GS PB 	
CNNLCS	C	N	N	L	C	S	200	GS PB 	
CNNLDL	C	N	N	L	D	L	1744	GS PB 	
CNNLDM	C	N	N	L	D	M	666	GS PB 	
CNNLDP	C	N	N	L	D	P	51	GS PB 	
CNNLDS	C	N	N	L	D	S	184	GS PB 	
CNNLIL	C	N	N	L	I	L	19303	GS PB 	
CNNLIM	C	N	N	L	I	M	32817	GS PB 	
CNNLIP	C	N	N	L	I	P	14895	GS PB 	
CNNLIS	C	N	N	L	I	S	1863	GS PB 	
CNNLLL	C	N	N	L	L	L	6453	GS PB 	
CNNLLM	C	N	N	L	L	M	23216	GS PB 	
CNNLLP	C	N	N	L	L	P	17277	GS PB 	
CNNLNL	C	N	N	L	N	L	94	GS PB 	
CNNLNM	C	N	N	L	N	M	151	GS PB 	
CNNLNN	C	N	N	L	N	N	55416	GS PB 	
CNNLPL	C	N	N	L	P	L	1803	GS PB 	
CNNLPM	C	N	N	L	P	M	2528	GS PB 	
CNNLPP	C	N	N	L	P	P	370	GS PB 	
CNNLPS	C	N	N	L	P	S	110	GS PB 	
CNNLWL	C	N	N	L	W	L	7496	GS PB 	
CNNLWM	C	N	N	L	W	M	5075	GS PB 	
CNNLWP	C	N	N	L	W	P	1715	GS PB 	
CNNLWS	C	N	N	L	W	S	331	GS PB 	
CNNRAL	C	N	N	R	A	L	1237	GS PB 	
CNNRAM	C	N	N	R	A	M	2226	GS PB 	
CNNRAP	C	N	N	R	A	P	1865	GS PB 	
CNNRAS	C	N	N	R	A	S	206	GS PB 	
CNNRIL	C	N	N	R	I	L	1061	GS PB 	
CNNRIM	C	N	N	R	I	M	1499	GS PB 	
CNNRIP	C	N	N	R	I	P	836	GS PB 	
CNNRIS	C	N	N	R	I	S	213	GS PB 	
CNNRLL	C	N	N	R	L	L	638	GS PB 	
CNNRLM	C	N	N	R	L	M	794	GS PB 	
CNNRLP	C	N	N	R	L	P	597	GS PB 	
CNNRNN	C	N	N	R	N	N	1239	GS PB 	
CNNRWL	C	N	N	R	W	L	152	GS PB 	
CNNRWM	C	N	N	R	W	M	103	GS PB 	
CNOCAL	C	N	O	C	A	L	120	GS PB 	
CNOCAM	C	N	O	C	A	M	204	GS PB 	
CNOCAP	C	N	O	C	A	P	117	GS PB 	
CNOCCL	C	N	O	C	C	L	86	GS PB 	
CNOCIL	C	N	O	C	I	L	129	GS PB 	
CNOCIM	C	N	O	C	I	M	53	GS PB 	
CNOCIP	C	N	O	C	I	P	72	GS PB 	
CNOCLL	C	N	O	C	L	L	60	GS PB 	
CNOCLM	C	N	O	C	L	M	60	GS PB 	
CNOCLP	C	N	O	C	L	P	57	GS PB 	
CNOCWL	C	N	O	C	W	L	65	GS PB 	
CNOHAL	C	N	O	H	A	L	426	GS PB 	
CNOHAM	C	N	O	H	A	M	448	GS PB 	
CNOHAP	C	N	O	H	A	P	695	GS PB 	
CNOHIL	C	N	O	H	I	L	393	GS PB 	
CNOHIM	C	N	O	H	I	M	348	GS PB 	
CNOHIP	C	N	O	H	I	P	338	GS PB 	
CNOHLL	C	N	O	H	L	L	167	GS PB 	
CNOHLM	C	N	O	H	L	M	273	GS PB 	
CNOHLP	C	N	O	H	L	P	266	GS PB 	
CNOHWL	C	N	O	H	W	L	55	GS PB 	
CNOLAL	C	N	O	L	A	L	97	GS PB 	
CNOLAM	C	N	O	L	A	M	147	GS PB 	
CNOLAP	C	N	O	L	A	P	333	GS PB 	
CNOLIM	C	N	O	L	I	M	71	GS PB 	
CNOLIP	C	N	O	L	I	P	91	GS PB 	
CNOLLM	C	N	O	L	L	M	56	GS PB 	
CNOLLP	C	N	O	L	L	P	101	GS PB 	
CNORAL	C	N	O	R	A	L	336	GS PB 	
CNORAM	C	N	O	R	A	M	217	GS PB 	
CNORAP	C	N	O	R	A	P	218	GS PB 	
CNORIL	C	N	O	R	I	L	409	GS PB 	
CNORIM	C	N	O	R	I	M	252	GS PB 	
CNORIP	C	N	O	R	I	P	233	GS PB 	
CNORLL	C	N	O	R	L	L	241	GS PB 	
CNORLM	C	N	O	R	L	M	156	GS PB 	
CNORLP	C	N	O	R	L	P	159	GS PB 	
CNORWL	C	N	O	R	W	L	109	GS PB 	
CNORWM	C	N	O	R	W	M	67	GS PB 	
CNPCAL	C	N	P	C	A	L	498	GS PB 	
CNPCAM	C	N	P	C	A	M	992	GS PB 	
CNPCAP	C	N	P	C	A	P	1161	GS PB 	
CNPCCL	C	N	P	C	C	L	713	GS PB 	
CNPCCM	C	N	P	C	C	M	220	GS PB 	
CNPCCP	C	N	P	C	C	P	114	GS PB 	
CNPCIL	C	N	P	C	I	L	830	GS PB 	
CNPCIM	C	N	P	C	I	M	548	GS PB 	
CNPCIP	C	N	P	C	I	P	657	GS PB 	
CNPCLL	C	N	P	C	L	L	504	GS PB 	
CNPCLM	C	N	P	C	L	M	751	GS PB 	
CNPCLP	C	N	P	C	L	P	1143	GS PB 	
CNPCNN	C	N	P	C	N	N	237	GS PB 	
CNPCWL	C	N	P	C	W	L	985	GS PB 	
CNPCWM	C	N	P	C	W	M	254	GS PB 	
CNPCWP	C	N	P	C	W	P	445	GS PB 	
CNPHAL	C	N	P	H	A	L	116	GS PB 	
CNPHAM	C	N	P	H	A	M	548	GS PB 	
CNPHAP	C	N	P	H	A	P	881	GS PB 	
CNPHIL	C	N	P	H	I	L	135	GS PB 	
CNPHIM	C	N	P	H	I	M	358	GS PB 	
CNPHIP	C	N	P	H	I	P	552	GS PB 	
CNPHLL	C	N	P	H	L	L	103	GS PB 	
CNPHLM	C	N	P	H	L	M	346	GS PB 	
CNPHLP	C	N	P	H	L	P	577	GS PB 	
CNPLAL	C	N	P	L	A	L	186	GS PB 	
CNPLAM	C	N	P	L	A	M	734	GS PB 	
CNPLAP	C	N	P	L	A	P	1208	GS PB 	
CNPLIM	C	N	P	L	I	M	289	GS PB 	
CNPLIP	C	N	P	L	I	P	173	GS PB 	
CNPLLL	C	N	P	L	L	L	55	GS PB 	
CNPLLM	C	N	P	L	L	M	238	GS PB 	
CNPLLP	C	N	P	L	L	P	234	GS PB 	
CNPLNN	C	N	P	L	N	N	186	GS PB 	
CNPRAM	C	N	P	R	A	M	318	GS PB 	
CNPRAP	C	N	P	R	A	P	809	GS PB 	
CNPRIL	C	N	P	R	I	L	98	GS PB 	
CNPRIM	C	N	P	R	I	M	155	GS PB 	
CNPRIP	C	N	P	R	I	P	112	GS PB 	
CNPRLL	C	N	P	R	L	L	86	GS PB 	
CNPRLM	C	N	P	R	L	M	96	GS PB 	
CNPRLP	C	N	P	R	L	P	157	GS PB 	
CNSCAL	C	N	S	C	A	L	637	GS PB 	
CNSCAM	C	N	S	C	A	M	478	GS PB 	
CNSCAP	C	N	S	C	A	P	607	GS PB 	
CNSCCL	C	N	S	C	C	L	592	GS PB 	
CNSCIL	C	N	S	C	I	L	834	GS PB 	
CNSCIM	C	N	S	C	I	M	408	GS PB 	
CNSCIP	C	N	S	C	I	P	348	GS PB 	
CNSCLL	C	N	S	C	L	L	890	GS PB 	
CNSCLM	C	N	S	C	L	M	528	GS PB 	
CNSCLP	C	N	S	C	L	P	473	GS PB 	
CNSCNN	C	N	S	C	N	N	260	GS PB 	
CNSCWL	C	N	S	C	W	L	828	GS PB 	
CNSCWM	C	N	S	C	W	M	109	GS PB 	
CNSCWP	C	N	S	C	W	P	61	GS PB 	
CNSHAL	C	N	S	H	A	L	3564	GS PB 	
CNSHAM	C	N	S	H	A	M	3792	GS PB 	
CNSHAP	C	N	S	H	A	P	5069	GS PB 	
CNSHAS	C	N	S	H	A	S	98	GS PB 	
CNSHCL	C	N	S	H	C	L	287	GS PB 	
CNSHIL	C	N	S	H	I	L	3769	GS PB 	
CNSHIM	C	N	S	H	I	M	2307	GS PB 	
CNSHIP	C	N	S	H	I	P	2218	GS PB 	
CNSHIS	C	N	S	H	I	S	137	GS PB 	
CNSHLL	C	N	S	H	L	L	2904	GS PB 	
CNSHLM	C	N	S	H	L	M	2396	GS PB 	
CNSHLP	C	N	S	H	L	P	2897	GS PB 	
CNSHNN	C	N	S	H	N	N	741	GS PB 	
CNSHPM	C	N	S	H	P	M	127	GS PB 	
CNSHWL	C	N	S	H	W	L	1064	GS PB 	
CNSHWM	C	N	S	H	W	M	305	GS PB 	
CNSHWP	C	N	S	H	W	P	291	GS PB 	
CNSLAL	C	N	S	L	A	L	240	GS PB 	
CNSLAM	C	N	S	L	A	M	786	GS PB 	
CNSLAP	C	N	S	L	A	P	1751	GS PB 	
CNSLIL	C	N	S	L	I	L	190	GS PB 	
CNSLIM	C	N	S	L	I	M	552	GS PB 	
CNSLIP	C	N	S	L	I	P	440	GS PB 	
CNSLLL	C	N	S	L	L	L	143	GS PB 	
CNSLLM	C	N	S	L	L	M	314	GS PB 	
CNSLLP	C	N	S	L	L	P	707	GS PB 	
CNSLNN	C	N	S	L	N	N	530	GS PB 	
CNSLWM	C	N	S	L	W	M	67	GS PB 	
CNSRAL	C	N	S	R	A	L	4105	GS PB 	
CNSRAM	C	N	S	R	A	M	3298	GS PB 	
CNSRAP	C	N	S	R	A	P	3680	GS PB 	
CNSRAS	C	N	S	R	A	S	397	GS PB 	
CNSRCL	C	N	S	R	C	L	298	GS PB 	
CNSRCM	C	N	S	R	C	M	261	GS PB 	
CNSRDL	C	N	S	R	D	L	97	GS PB 	
CNSRDM	C	N	S	R	D	M	131	GS PB 	
CNSRIL	C	N	S	R	I	L	6065	GS PB 	
CNSRIM	C	N	S	R	I	M	3725	GS PB 	
CNSRIP	C	N	S	R	I	P	2731	GS PB 	
CNSRIS	C	N	S	R	I	S	291	GS PB 	
CNSRLL	C	N	S	R	L	L	2477	GS PB 	
CNSRLM	C	N	S	R	L	M	2457	GS PB 	
CNSRLP	C	N	S	R	L	P	2377	GS PB 	
CNSRLS	C	N	S	R	L	S	65	GS PB 	
CNSRNN	C	N	S	R	N	N	601	GS PB 	
CNSRPL	C	N	S	R	P	L	108	GS PB 	
CNSRPM	C	N	S	R	P	M	407	GS PB 	
CNSRPP	C	N	S	R	P	P	193	GS PB 	
CNSRPS	C	N	S	R	P	S	62	GS PB 	
CNSRWL	C	N	S	R	W	L	1161	GS PB 	
CNSRWM	C	N	S	R	W	M	955	GS PB 	
CNSRWP	C	N	S	R	W	P	375	GS PB 	
CRNCAL	C	R	N	C	A	L	1825	GS PB 	
CRNCAM	C	R	N	C	A	M	2819	GS PB 	
CRNCAP	C	R	N	C	A	P	1198	GS PB 	
CRNCAS	C	R	N	C	A	S	189	GS PB 	
CRNCCL	C	R	N	C	C	L	74	GS PB 	
CRNCIL	C	R	N	C	I	L	2085	GS PB 	
CRNCIM	C	R	N	C	I	M	1970	GS PB 	
CRNCIP	C	R	N	C	I	P	756	GS PB 	
CRNCIS	C	R	N	C	I	S	94	GS PB 	
CRNCLL	C	R	N	C	L	L	516	GS PB 	
CRNCLM	C	R	N	C	L	M	1452	GS PB 	
CRNCLP	C	R	N	C	L	P	620	GS PB 	
CRNCLS	C	R	N	C	L	S	51	GS PB 	
CRNCNN	C	R	N	C	N	N	3474	GS PB 	
CRNCPL	C	R	N	C	P	L	1166	GS PB 	
CRNCPM	C	R	N	C	P	M	1202	GS PB 	
CRNCPP	C	R	N	C	P	P	147	GS PB 	
CRNCWL	C	R	N	C	W	L	212	GS PB 	
CRNCWM	C	R	N	C	W	M	296	GS PB 	
CRNCWP	C	R	N	C	W	P	141	GS PB 	
CRNHAL	C	R	N	H	A	L	127	GS PB 	
CRNHAM	C	R	N	H	A	M	818	GS PB 	
CRNHAP	C	R	N	H	A	P	713	GS PB 	
CRNHIL	C	R	N	H	I	L	205	GS PB 	
CRNHIM	C	R	N	H	I	M	318	GS PB 	
