BRPCNN,B,R,P,C,N,N,123
BRPCPL,B,R,P,C,P,L,293
BRPCPS,B,R,P,C,P,S,53
BRPCWL,B,R,P,C,W,L,1167
BRPCWM,B,R,P,C,W,M,160
BRPCWP,B,R,P,C,W,P,277
BRPCWS,B,R,P,C,W,S,464
BRPHCL,B,R,P,H,C,L,644
BRPHCM,B,R,P,H,C,M,333
BRPHLL,B,R,P,H,L,L,79
BRPHWL,B,R,P,H,W,L,324
BRPHWM,B,R,P,H,W,M,203
BRPHWP,B,R,P,H,W,P,76
BRPLAL,B,R,P,L,A,L,85
BRPLAM,B,R,P,L,A,M,77
BRPLCL,B,R,P,L,C,L,471
BRPLCM,B,R,P,L,C,M,85
BRPLCP,B,R,P,L,C,P,53
BRPLCS,B,R,P,L,C,S,155
BRPLIL,B,R,P,L,I,L,72
BRPLWL,B,R,P,L,W,L,424
BRPLWM,B,R,P,L,W,M,68
BRPLWP,B,R,P,L,W,P,85
BRPLWS,B,R,P,L,W,S,139
BRPRAL,B,R,P,R,A,L,52
BRPRCL,B,R,P,R,C,L,7588
BRPRCM,B,R,P,R,C,M,2608
BRPRCP,B,R,P,R,C,P,394
BRPRCS,B,R,P,R,C,S,399
BRPRDL,B,R,P,R,D,L,1188
BRPRDM,B,R,P,R,D,M,344
BRPRDP,B,R,P,R,D,P,138
BRPRDS,B,R,P,R,D,S,277
BRPRIL,B,R,P,R,I,L,92
BRPRIP,B,R,P,R,I,P,55
BRPRLL,B,R,P,R,L,L,81
BRPRNN,B,R,P,R,N,N,166
BRPRPL,B,R,P,R,P,L,481
BRPRPM,B,R,P,R,P,M,162
BRPRPP,B,R,P,R,P,P,70
BRPRPS,B,R,P,R,P,S,57
BRPRWL,B,R,P,R,W,L,5277
BRPRWM,B,R,P,R,W,M,1743
BRPRWP,B,R,P,R,W,P,373
BRPRWS,B,R,P,R,W,S,554
CNNCAL,C,N,N,C,A,L,13028
CNNCAM,C,N,N,C,A,M,28537
CNNCAP,C,N,N,C,A,P,27072
CNNCAS,C,N,N,C,A,S,292
CNNCCL,C,N,N,C,C,L,3782
CNNCCM,C,N,N,C,C,M,755
CNNCCP,C,N,N,C,C,P,395
CNNCCS,C,N,N,C,C,S,71
CNNCDL,C,N,N,C,D,L,1562
CNNCDM,C,N,N,C,D,M,636
CNNCDP,C,N,N,C,D,P,123
CNNCDS,C,N,N,C,D,S,154
CNNCIL,C,N,N,C,I,L,8449
CNNCIM,C,N,N,C,I,M,14243
CNNCIP,C,N,N,C,I,P,7732
CNNCIS,C,N,N,C,I,S,731
CNNCLL,C,N,N,C,L,L,3055
CNNCLM,C,N,N,C,L,M,9430
CNNCLP,C,N,N,C,L,P,9579
CNNCNM,C,N,N,C,N,M,129
CNNCNN,C,N,N,C,N,N,77113
CNNCPL,C,N,N,C,P,L,3182
CNNCPM,C,N,N,C,P,M,3068
CNNCPP,C,N,N,C,P,P,291
CNNCPS,C,N,N,C,P,S,240
CNNCWL,C,N,N,C,W,L,3931
CNNCWM,C,N,N,C,W,M,2908
CNNCWP,C,N,N,C,W,P,749
CNNCWS,C,N,N,C,W,S,118
CNNHAL,C,N,N,H,A,L,997
CNNHAM,C,N,N,H,A,M,907
CNNHAP,C,N,N,H,A,P,861
CNNHIL,C,N,N,H,I,L,1058
CNNHIM,C,N,N,H,I,M,925
CNNHIP,C,N,N,H,I,P,484
CNNHLL,C,N,N,H,L,L,724
CNNHLM,C,N,N,H,L,M,390
CNNHLP,C,N,N,H,L,P,316
CNNHNN,C,N,N,H,N,N,153
CNNHWL,C,N,N,H,W,L,142
CNNLAL,C,N,N,L,A,L,33323
CNNLAM,C,N,N,L,A,M,56955
CNNLAP,C,N,N,L,A,P,38935
CNNLAS,C,N,N,L,A,S,1116
CNNLCL,C,N,N,L,C,L,5270
CNNLCM,C,N,N,L,C,M,1025
CNNLCP,C,N,N,L,C,P,473
CNNLCS,C,N,N,L,C,S,200
CNNLDL,C,N,N,L,D,L,1744
CNNLDM,C,N,N,L,D,M,666
CNNLDP,C,N,N,L,D,P,51
CNNLDS,C,N,N,L,D,S,184
CNNLIL,C,N,N,L,I,L,19303
CNNLIM,C,N,N,L,I,M,32817
CNNLIP,C,N,N,L,I,P,14895
CNNLIS,C,N,N,L,I,S,1863
CNNLLL,C,N,N,L,L,L,6453
CNNLLM,C,N,N,L,L,M,23216
CNNLLP,C,N,N,L,L,P,17277
CNNLNL,C,N,N,L,N,L,94
CNNLNM,C,N,N,L,N,M,151
CNNLNN,C,N,N,L,N,N,55416
CNNLPL,C,N,N,L,P,L,1803
CNNLPM,C,N,N,L,P,M,2528
CNNLPP,C,N,N,L,P,P,370
CNNLPS,C,N,N,L,P,S,110
CNNLWL,C,N,N,L,W,L,7496
CNNLWM,C,N,N,L,W,M,5075
CNNLWP,C,N,N,L,W,P,1715
CNNLWS,C,N,N,L,W,S,331
CNNRAL,C,N,N,R,A,L,1237
CNNRAM,C,N,N,R,A,M,2226
CNNRAP,C,N,N,R,A,P,1865
CNNRAS,C,N,N,R,A,S,206
CNNRIL,C,N,N,R,I,L,1061
CNNRIM,C,N,N,R,I,M,1499
CNNRIP,C,N,N,R,I,P,836
CNNRIS,C,N,N,R,I,S,213
CNNRLL,C,N,N,R,L,L,638
CNNRLM,C,N,N,R,L,M,794
CNNRLP,C,N,N,R,L,P,597
CNNRNN,C,N,N,R,N,N,1239
CNNRWL,C,N,N,R,W,L,152
