Index	Name	Value	Reduced Cost
515	x_B,R,P,C,I,S,2	59.17	 
517	x_B,R,P,C,I,S,4	1.83	 
520	x_B,R,P,C,I,L,2	161.99	 
522	x_B,R,P,C,I,L,4	5.01	 
525	x_B,R,P,C,A,S,2	74.69	 
527	x_B,R,P,C,A,S,4	2.31	 
530	x_B,R,P,C,A,L,2	83.42	 
532	x_B,R,P,C,A,L,4	2.58	 
533	x_B,R,P,R,P,S,0	55.29	 
537	x_B,R,P,R,P,S,4	1.71	 
539	x_B,R,P,R,P,M,1	157.14	 
542	x_B,R,P,R,P,M,4	4.86	 
544	x_B,R,P,R,P,L,1	466.57	 
547	x_B,R,P,R,P,L,4	14.43	 
548	x_B,R,P,R,D,S,0	268.69	 
552	x_B,R,P,R,D,S,4	8.31	 
553	x_B,R,P,R,D,M,0	333.68	 
557	x_B,R,P,R,D,M,4	10.32	 
559	x_B,R,P,R,D,L,1	1152.36	 
562	x_B,R,P,R,D,L,4	35.64	 
563	x_B,R,P,R,W,S,0	537.38	 
567	x_B,R,P,R,W,S,4	16.62	 
568	x_B,R,P,R,W,P,0	361.81	 
572	x_B,R,P,R,W,P,4	11.19	 
573	x_B,R,P,R,W,M,0	1690.71	 
577	x_B,R,P,R,W,M,4	52.29	 
578	x_B,R,P,R,W,L,0	5118.69	 
582	x_B,R,P,R,W,L,4	158.31	 
583	x_B,R,P,R,C,S,0	387.03	 
587	x_B,R,P,R,C,S,4	11.97	 
588	x_B,R,P,R,C,P,0	382.18	 
592	x_B,R,P,R,C,P,4	11.82	 
593	x_B,R,P,R,C,M,0	2529.76	 
597	x_B,R,P,R,C,M,4	78.24	 
598	x_B,R,P,R,C,L,0	7360.36	 
602	x_B,R,P,R,C,L,4	227.64	 
605	x_B,R,P,R,I,P,2	53.35	 
607	x_B,R,P,R,I,P,4	1.65	 
610	x_B,R,P,R,I,L,2	89.24	 
612	x_B,R,P,R,I,L,4	2.76	 
615	x_B,R,P,R,A,L,2	50.44	 
617	x_B,R,P,R,A,L,4	1.56	 
620	x_B,R,P,R,L,L,2	76.95	 
622	x_B,R,P,R,L,L,4	4.05	 
624	x_B,N,N,L,P,L,1	89.24	 
627	x_B,N,N,L,P,L,4	2.76	 
629	x_B,N,N,L,D,L,1	56.26	 
632	x_B,N,N,L,D,L,4	1.74	 
636	x_B,N,N,L,W,S,3	72.75	 
637	x_B,N,N,L,W,S,4	2.25	 
641	x_B,N,N,L,W,P,3	62.08	 
642	x_B,N,N,L,W,P,4	1.92	 
643	x_B,N,N,L,W,M,0	326.89	 
647	x_B,N,N,L,W,M,4	10.11	 
648	x_B,N,N,L,W,L,0	1109.68	 
652	x_B,N,N,L,W,L,4	34.32	 
656	x_B,N,N,L,C,S,3	97.0	 
657	x_B,N,N,L,C,S,4	3.0	 
658	x_B,N,N,L,C,M,0	384.12	 
662	x_B,N,N,L,C,M,4	11.88	 
663	x_B,N,N,L,C,L,0	1354.12	 
667	x_B,N,N,L,C,L,4	41.88	 
670	x_B,N,N,L,I,S,2	135.8	 
672	x_B,N,N,L,I,S,4	4.2	 
675	x_B,N,N,L,I,M,2	210.49	 
677	x_B,N,N,L,I,M,4	6.51	 
680	x_B,N,N,L,I,L,2	234.74	 
682	x_B,N,N,L,I,L,4	7.26	 
685	x_B,N,N,L,A,S,2	83.42	 
687	x_B,N,N,L,A,S,4	2.58	 
690	x_B,N,N,L,A,M,2	152.29	 
692	x_B,N,N,L,A,M,4	4.71	 
695	x_B,N,N,L,A,L,2	366.66	 
697	x_B,N,N,L,A,L,4	11.34	 
700	x_B,N,N,L,L,M,2	71.25	 
702	x_B,N,N,L,L,M,4	3.75	 
703	x_B,N,N,H,C,L,0	68.87	 
707	x_B,N,N,H,C,L,4	2.13	 
709	x_B,N,N,C,P,M,1	881.73	 
