Strata ID	Layer 1	Layer 2	Layer 3	Layer 4	Layer 5	Layer 6	Total area (acres)	Available Methods/Prescriptions	Methods for Implementation	
BRPCIS	B	R	P	C	I	S	61	null	EA 	
BRPCPL	B	R	P	C	P	L	293	null	EA 	
BRPCPS	B	R	P	C	P	S	53	null	EA 	
BRPCWL	B	R	P	C	W	L	1167	null	EA 	
BRPCWM	B	R	P	C	W	M	160	null	EA 	
BRPCWP	B	R	P	C	W	P	277	null	EA 	
BRPCWS	B	R	P	C	W	S	464	null	EA 	
BRPHCL	B	R	P	H	C	L	644	null	EA 	
BRPHCM	B	R	P	H	C	M	333	null	EA 	
BRPHLL	B	R	P	H	L	L	79	null	EA 	
BRPHWL	B	R	P	H	W	L	324	null	EA 	
BRPHWM	B	R	P	H	W	M	203	null	EA 	
BRPHWP	B	R	P	H	W	P	76	null	EA 	
BRPLAL	B	R	P	L	A	L	85	null	EA 	
BRPLAM	B	R	P	L	A	M	77	null	EA 	
BRPLCL	B	R	P	L	C	L	471	null	EA 	
BRPLCM	B	R	P	L	C	M	85	null	EA 	
BRPLCP	B	R	P	L	C	P	53	null	EA 	
BRPLCS	B	R	P	L	C	S	155	null	EA 	
BRPLIL	B	R	P	L	I	L	72	null	EA 	
BRPLWL	B	R	P	L	W	L	424	null	EA 	
BRPLWM	B	R	P	L	W	M	68	null	EA 	
BRPLWP	B	R	P	L	W	P	85	null	EA 	
BRPLWS	B	R	P	L	W	S	139	null	EA 	
BRPRAL	B	R	P	R	A	L	52	null	EA 	
BRPRCL	B	R	P	R	C	L	7588	null	EA 	
BRPRCM	B	R	P	R	C	M	2608	null	EA 	
BRPRCP	B	R	P	R	C	P	394	null	EA 	
BRPRCS	B	R	P	R	C	S	399	null	EA 	
BRPRDL	B	R	P	R	D	L	1188	null	EA 	
BRPRDM	B	R	P	R	D	M	344	null	EA 	
BRPRDP	B	R	P	R	D	P	138	null	EA 	
BRPRDS	B	R	P	R	D	S	277	null	EA 	
BRPRIL	B	R	P	R	I	L	92	null	EA 	
BRPRIP	B	R	P	R	I	P	55	null	EA 	
BRPRLL	B	R	P	R	L	L	81	null	EA 	
BRPRPL	B	R	P	R	P	L	481	null	EA 	
BRPRPM	B	R	P	R	P	M	162	null	EA 	
BRPRPP	B	R	P	R	P	P	70	null	EA 	
BRPRPS	B	R	P	R	P	S	57	null	EA 	
BRPRWL	B	R	P	R	W	L	5277	null	EA 	
BRPRWM	B	R	P	R	W	M	1743	null	EA 	
BRPRWP	B	R	P	R	W	P	373	null	EA 	
BRPRWS	B	R	P	R	W	S	554	null	EA 	
CNNCAL	C	N	N	C	A	L	13028	null	EA 	
CNNCAM	C	N	N	C	A	M	28537	null	EA 	
CNNCAP	C	N	N	C	A	P	27072	null	EA 	
CNNCAS	C	N	N	C	A	S	292	null	EA 	
CNNCCL	C	N	N	C	C	L	3782	null	EA 	
CNNCCM	C	N	N	C	C	M	755	null	EA 	
CNNCCP	C	N	N	C	C	P	395	null	EA 	
CNNCCS	C	N	N	C	C	S	71	null	EA 	
CNNCDL	C	N	N	C	D	L	1562	null	EA 	
CNNCDM	C	N	N	C	D	M	636	null	EA 	
CNNCDP	C	N	N	C	D	P	123	null	EA 	
CNNCDS	C	N	N	C	D	S	154	null	EA 	
CNNCIL	C	N	N	C	I	L	8449	null	EA 	
CNNCIM	C	N	N	C	I	M	14243	null	EA 	
CNNCIP	C	N	N	C	I	P	7732	null	EA 	
CNNCIS	C	N	N	C	I	S	731	null	EA 	
CNNCLL	C	N	N	C	L	L	3055	null	EA 	
CNNCLM	C	N	N	C	L	M	9430	null	EA 	
CNNCLP	C	N	N	C	L	P	9579	null	EA 	
CNNCPL	C	N	N	C	P	L	3182	null	EA 	
CNNCPM	C	N	N	C	P	M	3068	null	EA 	
CNNCPP	C	N	N	C	P	P	291	null	EA 	
CNNCPS	C	N	N	C	P	S	240	null	EA 	
CNNCWL	C	N	N	C	W	L	3931	null	EA 	
CNNCWM	C	N	N	C	W	M	2908	null	EA 	
CNNCWP	C	N	N	C	W	P	749	null	EA 	
CNNCWS	C	N	N	C	W	S	118	null	EA 	
CNNHAL	C	N	N	H	A	L	997	null	EA 	
CNNHAM	C	N	N	H	A	M	907	null	EA 	
CNNHAP	C	N	N	H	A	P	861	null	EA 	
CNNHIL	C	N	N	H	I	L	1058	null	EA 	
CNNHIM	C	N	N	H	I	M	925	null	EA 	
CNNHIP	C	N	N	H	I	P	484	null	EA 	
CNNHLL	C	N	N	H	L	L	724	null	EA 	
CNNHLM	C	N	N	H	L	M	390	null	EA 	
CNNHLP	C	N	N	H	L	P	316	null	EA 	
CNNHWL	C	N	N	H	W	L	142	null	EA 	
CNNLAL	C	N	N	L	A	L	33323	null	EA 	
CNNLAM	C	N	N	L	A	M	56955	null	EA 	
CNNLAP	C	N	N	L	A	P	38935	null	EA 	
CNNLAS	C	N	N	L	A	S	1116	null	EA 	
CNNLCL	C	N	N	L	C	L	5270	null	EA 	
CNNLCM	C	N	N	L	C	M	1025	null	EA 	
CNNLCP	C	N	N	L	C	P	473	null	EA 	
CNNLCS	C	N	N	L	C	S	200	null	EA 	
CNNLDL	C	N	N	L	D	L	1744	null	EA 	
CNNLDM	C	N	N	L	D	M	666	null	EA 	
CNNLDP	C	N	N	L	D	P	51	null	EA 	
CNNLDS	C	N	N	L	D	S	184	null	EA 	
CNNLIL	C	N	N	L	I	L	19303	null	EA 	
CNNLIM	C	N	N	L	I	M	32817	null	EA 	
CNNLIP	C	N	N	L	I	P	14895	null	EA 	
CNNLIS	C	N	N	L	I	S	1863	null	EA 	
CNNLLL	C	N	N	L	L	L	6453	null	EA 	
CNNLLM	C	N	N	L	L	M	23216	null	EA 	
CNNLLP	C	N	N	L	L	P	17277	null	EA 	
CNNLPL	C	N	N	L	P	L	1803	null	EA 	
CNNLPM	C	N	N	L	P	M	2528	null	EA 	
CNNLPP	C	N	N	L	P	P	370	null	EA 	
CNNLPS	C	N	N	L	P	S	110	null	EA 	
CNNLWL	C	N	N	L	W	L	7496	null	EA 	
