Strata ID	Layer 1	Layer 2	Layer 3	Layer 4	Layer 5	Layer 6	Total area (acres)	Age Class	Strata in optimization model	
BNSRDL	B	N	S	R	D	L	495	8	Yes	
BNSRDM	B	N	S	R	D	M	211	8	Yes	
BNSRLL	B	N	S	R	L	L	88	8	Yes	
BNSRPL	B	N	S	R	P	L	645	8	Yes	
BNSRWL	B	N	S	R	W	L	5031	8	Yes	
BNSRWM	B	N	S	R	W	M	801	8	Yes	
BRNCAM	B	R	N	C	A	M	113	8	Yes	
BRNCCL	B	R	N	C	C	L	4702	8	Yes	
BRNCCM	B	R	N	C	C	M	987	8	Yes	
BRNCDL	B	R	N	C	D	L	542	8	Yes	
BRNCDM	B	R	N	C	D	M	377	8	Yes	
BRNCIL	B	R	N	C	I	L	239	8	Yes	
BRNCIM	B	R	N	C	I	M	79	8	Yes	
BRNCLL	B	R	N	C	L	L	140	8	Yes	
BRNCLM	B	R	N	C	L	M	161	8	Yes	
BRNCPL	B	R	N	C	P	L	837	8	Yes	
BRNCPM	B	R	N	C	P	M	442	8	Yes	
BRNCWL	B	R	N	C	W	L	3076	8	Yes	
BRNCWM	B	R	N	C	W	M	1750	8	Yes	
BRNHAM	B	R	N	H	A	M	57	8	Yes	
BRNHCL	B	R	N	H	C	L	1019	8	Yes	
BRNHCM	B	R	N	H	C	M	509	8	Yes	
BRNHLM	B	R	N	H	L	M	118	8	Yes	
BRNHWL	B	R	N	H	W	L	706	8	Yes	
BRNHWM	B	R	N	H	W	M	409	8	Yes	
BRNLAM	B	R	N	L	A	M	195	8	Yes	
BRNLCL	B	R	N	L	C	L	1571	8	Yes	
BRNLCM	B	R	N	L	C	M	761	8	Yes	
BRNLDL	B	R	N	L	D	L	61	8	Yes	
BRNLDM	B	R	N	L	D	M	107	8	Yes	
BRNLIL	B	R	N	L	I	L	113	8	Yes	
BRNLIM	B	R	N	L	I	M	112	8	Yes	
BRNLLM	B	R	N	L	L	M	67	8	Yes	
BRNLWL	B	R	N	L	W	L	1333	8	Yes	
BRNLWM	B	R	N	L	W	M	938	8	Yes	
BRNRCL	B	R	N	R	C	L	2381	8	Yes	
BRNRCM	B	R	N	R	C	M	760	8	Yes	
BRNRDL	B	R	N	R	D	L	314	8	Yes	
BRNRDM	B	R	N	R	D	M	120	8	Yes	
BRNRLL	B	R	N	R	L	L	56	8	Yes	
BRNRPL	B	R	N	R	P	L	68	8	Yes	
BRNRPM	B	R	N	R	P	M	136	8	Yes	
BRNRWL	B	R	N	R	W	L	1929	8	Yes	
BRNRWM	B	R	N	R	W	M	606	8	Yes	
BROCCL	B	R	O	C	C	L	311	8	Yes	
BROCCM	B	R	O	C	C	M	51	8	Yes	
BROCDL	B	R	O	C	D	L	128	8	Yes	
BROCPL	B	R	O	C	P	L	83	8	Yes	
BROCWL	B	R	O	C	W	L	335	8	Yes	
BROCWM	B	R	O	C	W	M	66	8	Yes	
BROHCL	B	R	O	H	C	L	168	8	Yes	
BROLCL	B	R	O	L	C	L	65	8	Yes	
BRORCL	B	R	O	R	C	L	1611	8	Yes	
BRORCM	B	R	O	R	C	M	360	8	Yes	
BRORDL	B	R	O	R	D	L	248	8	Yes	
BRORPL	B	R	O	R	P	L	82	8	Yes	
BRORWL	B	R	O	R	W	L	1268	8	Yes	
BRORWM	B	R	O	R	W	M	246	8	Yes	
BRPCCL	B	R	P	C	C	L	1056	8	Yes	
BRPCCM	B	R	P	C	C	M	219	8	Yes	
BRPCDL	B	R	P	C	D	L	217	8	Yes	
BRPCIL	B	R	P	C	I	L	167	8	Yes	
BRPCPL	B	R	P	C	P	L	293	8	Yes	
BRPCWL	B	R	P	C	W	L	1167	8	Yes	
BRPCWM	B	R	P	C	W	M	160	8	Yes	
BRPHCL	B	R	P	H	C	L	644	8	Yes	
BRPHCM	B	R	P	H	C	M	333	8	Yes	
BRPHLL	B	R	P	H	L	L	79	8	Yes	
BRPHWL	B	R	P	H	W	L	324	8	Yes	
BRPHWM	B	R	P	H	W	M	203	8	Yes	
BRPLAM	B	R	P	L	A	M	77	8	Yes	
BRPLCL	B	R	P	L	C	L	471	8	Yes	
BRPLCM	B	R	P	L	C	M	85	8	Yes	
BRPLIL	B	R	P	L	I	L	72	8	Yes	
BRPLWL	B	R	P	L	W	L	424	8	Yes	
BRPLWM	B	R	P	L	W	M	68	8	Yes	
BRPRCL	B	R	P	R	C	L	7588	8	Yes	
BRPRCM	B	R	P	R	C	M	2608	8	Yes	
BRPRDL	B	R	P	R	D	L	1188	8	Yes	
BRPRDM	B	R	P	R	D	M	344	8	Yes	
BRPRIL	B	R	P	R	I	L	92	8	Yes	
BRPRLL	B	R	P	R	L	L	81	8	Yes	
BRPRPL	B	R	P	R	P	L	481	8	Yes	
BRPRPM	B	R	P	R	P	M	162	8	Yes	
BRPRWL	B	R	P	R	W	L	5277	8	Yes	
BRPRWM	B	R	P	R	W	M	1743	8	Yes	
CNNCAM	C	N	N	C	A	M	28537	8	Yes	
CNNCCL	C	N	N	C	C	L	3782	8	Yes	
CNNCCM	C	N	N	C	C	M	755	8	Yes	
CNNCDL	C	N	N	C	D	L	1562	8	Yes	
CNNCDM	C	N	N	C	D	M	636	8	Yes	
CNNCIL	C	N	N	C	I	L	8449	8	Yes	
CNNCIM	C	N	N	C	I	M	14243	8	Yes	
CNNCLL	C	N	N	C	L	L	3055	8	Yes	
CNNCLM	C	N	N	C	L	M	9430	8	Yes	
CNNCPL	C	N	N	C	P	L	3182	8	Yes	
CNNCPM	C	N	N	C	P	M	3068	8	Yes	
CNNCWL	C	N	N	C	W	L	3931	8	Yes	
CNNCWM	C	N	N	C	W	M	2908	8	Yes	
CNNHAM	C	N	N	H	A	M	907	8	Yes	
CNNHIL	C	N	N	H	I	L	1058	8	Yes	
CNNHIM	C	N	N	H	I	M	925	8	Yes	
CNNHLL	C	N	N	H	L	L	724	8	Yes	
CNNHLM	C	N	N	H	L	M	390	8	Yes	
CNNHWL	C	N	N	H	W	L	142	8	Yes	
CNNLAM	C	N	N	L	A	M	56955	8	Yes	
CNNLCL	C	N	N	L	C	L	5270	8	Yes	
CNNLCM	C	N	N	L	C	M	1025	8	Yes	
CNNLDL	C	N	N	L	D	L	1744	8	Yes	
CNNLDM	C	N	N	L	D	M	666	8	Yes	
CNNLIL	C	N	N	L	I	L	19303	8	Yes	
CNNLIM	C	N	N	L	I	M	32817	8	Yes	
CNNLLL	C	N	N	L	L	L	6453	8	Yes	
CNNLLM	C	N	N	L	L	M	23216	8	Yes	
CNNLPL	C	N	N	L	P	L	1803	8	Yes	
CNNLPM	C	N	N	L	P	M	2528	8	Yes	
CNNLWL	C	N	N	L	W	L	7496	8	Yes	
CNNLWM	C	N	N	L	W	M	5075	8	Yes	
CNNRAM	C	N	N	R	A	M	2226	8	Yes	
CNNRIL	C	N	N	R	I	L	1061	8	Yes	
CNNRIM	C	N	N	R	I	M	1499	8	Yes	
CNNRLL	C	N	N	R	L	L	638	8	Yes	
CNNRLM	C	N	N	R	L	M	794	8	Yes	
CNNRWL	C	N	N	R	W	L	152	8	Yes	
CNNRWM	C	N	N	R	W	M	103	8	Yes	
CNOCAM	C	N	O	C	A	M	204	8	Yes	
CNOCCL	C	N	O	C	C	L	86	8	Yes	
CNOCIL	C	N	O	C	I	L	129	8	Yes	
CNOCIM	C	N	O	C	I	M	53	8	Yes	
CNOCLL	C	N	O	C	L	L	60	8	Yes	
CNOCLM	C	N	O	C	L	M	60	8	Yes	
CNOCWL	C	N	O	C	W	L	65	8	Yes	
CNOHAM	C	N	O	H	A	M	448	8	Yes	
CNOHIL	C	N	O	H	I	L	393	8	Yes	
CNOHIM	C	N	O	H	I	M	348	8	Yes	
CNOHLL	C	N	O	H	L	L	167	8	Yes	
CNOHLM	C	N	O	H	L	M	273	8	Yes	
CNOHWL	C	N	O	H	W	L	55	8	Yes	
CNOLAM	C	N	O	L	A	M	147	8	Yes	
CNOLIM	C	N	O	L	I	M	71	8	Yes	
