strata_id	layer1	layer2	layer3	layer4	layer5	layer6	acres	ageclass	model_strata	
I1BNHG	I	1	B	N	H	G	1057.35	1	true	
I1BNHH	I	1	B	N	H	H	604.55	3	true	
I1BNHI	I	1	B	N	H	I	1454.48	3	true	
I1BNHJ	I	1	B	N	H	J	3854.08	3	true	
I1BNHK	I	1	B	N	H	K	16889.5	3	true	
I1BNHM	I	1	B	N	H	M	296.77	6	true	
I1BNHN	I	1	B	N	H	N	1381.98	6	true	
I1BNHO	I	1	B	N	H	O	15359.3	6	true	
I1BNHR	I	1	B	N	H	R	210.72	10	true	
I1BNHS	I	1	B	N	H	S	853.45	10	true	
I1BNIF	I	1	B	N	I	F	4498.18	1	true	
I1BNIG	I	1	B	N	I	G	3373.48	1	true	
I1BNIH	I	1	B	N	I	H	739.45	3	true	
I1BNII	I	1	B	N	I	I	2460.33	3	true	
I1BNIJ	I	1	B	N	I	J	6648.9	3	true	
I1BNIK	I	1	B	N	I	K	24367.9	3	true	
I1BNIM	I	1	B	N	I	M	555.32	6	true	
I1BNIN	I	1	B	N	I	N	2882.6	6	true	
I1BNIO	I	1	B	N	I	O	14020.6	6	true	
I1BNIS	I	1	B	N	I	S	207.63	10	true	
I1GNCF	I	1	G	N	C	F	311.35	1	true	
I1GNCH	I	1	G	N	C	H	225.58	3	true	
I1GNDF	I	1	G	N	D	F	10089.5	1	true	
I1GNDH	I	1	G	N	D	H	786.96	3	true	
I1GNDI	I	1	G	N	D	I	893.81	3	true	
I1GNDJ	I	1	G	N	D	J	998.52	3	true	
I1GNDK	I	1	G	N	D	K	2533.44	3	true	
I1GNDM	I	1	G	N	D	M	484.84	6	true	
I1GNDN	I	1	G	N	D	N	1343.85	6	true	
I1GNDO	I	1	G	N	D	O	4720.22	6	true	
I1GNDS	I	1	G	N	D	S	195.06	10	true	
I1GNEF	I	1	G	N	E	F	893.05	1	true	
I1GNEG	I	1	G	N	E	G	2804.78	1	true	
I1GNEK	I	1	G	N	E	K	2537.29	3	true	
I1GNEO	I	1	G	N	E	O	841.59	6	true	
I1GNFF	I	1	G	N	F	F	221.57	1	true	
I1GNFH	I	1	G	N	F	H	872.59	3	true	
I1GNFI	I	1	G	N	F	I	1003.21	3	true	
I1GNFJ	I	1	G	N	F	J	1228.53	3	true	
I1GNFK	I	1	G	N	F	K	1044.56	3	true	
I1GNFM	I	1	G	N	F	M	568.56	6	true	
I1GNFN	I	1	G	N	F	N	693.37	6	true	
I1GNFO	I	1	G	N	F	O	879.66	6	true	
I1GNGF	I	1	G	N	G	F	1090.34	1	true	
I1GNGG	I	1	G	N	G	G	1275.98	1	true	
I1GNGK	I	1	G	N	G	K	782.37	3	true	
I1GNHF	I	1	G	N	H	F	10475.2	1	true	
I1GNHG	I	1	G	N	H	G	989.89	1	true	
I1GNHH	I	1	G	N	H	H	4492.72	3	true	
I1GNHI	I	1	G	N	H	I	3756.39	3	true	
I1GNHJ	I	1	G	N	H	J	3505.99	3	true	
I1GNHK	I	1	G	N	H	K	2526.2	3	true	
I1GNHM	I	1	G	N	H	M	449.91	6	true	
I1GNHN	I	1	G	N	H	N	1032.47	6	true	
I1GNHO	I	1	G	N	H	O	1128.93	6	true	
I1GNIF	I	1	G	N	I	F	2124.65	1	true	
I1GNIG	I	1	G	N	I	G	724.43	1	true	
I1GNIH	I	1	G	N	I	H	1355.28	3	true	
I1GNII	I	1	G	N	I	I	2380.17	3	true	
I1GNIJ	I	1	G	N	I	J	2554.89	3	true	
I1GNIK	I	1	G	N	I	K	2684.72	3	true	
I1GNIM	I	1	G	N	I	M	386.42	6	true	
I1GNIN	I	1	G	N	I	N	793.72	6	true	
I1GNIO	I	1	G	N	I	O	1692.0	6	true	
I1LNCF	I	1	L	N	C	F	448.49	1	true	
I1LNCH	I	1	L	N	C	H	289.99	3	true	
I1LNCI	I	1	L	N	C	I	208.12	3	true	
I1LNCL	I	1	L	N	C	L	312.05	6	true	
I1LNCM	I	1	L	N	C	M	247.18	6	true	
I1LNCN	I	1	L	N	C	N	205.31	6	true	
I1LNDF	I	1	L	N	D	F	3833.73	1	true	
I1LNDH	I	1	L	N	D	H	169.72	3	true	
I1LNDI	I	1	L	N	D	I	222.82	3	true	
I1LNDJ	I	1	L	N	D	J	821.49	3	true	
I1LNDK	I	1	L	N	D	K	2345.35	3	true	
I1LNDL	I	1	L	N	D	L	227.92	6	true	
I1LNDM	I	1	L	N	D	M	1043.66	6	true	
I1LNDN	I	1	L	N	D	N	4339.39	6	true	
I1LNDO	I	1	L	N	D	O	6721.9	6	true	
I1LNDR	I	1	L	N	D	R	336.17	10	true	
I1LNEF	I	1	L	N	E	F	306.53	1	true	
I1LNEG	I	1	L	N	E	G	334.85	1	true	
I1LNEJ	I	1	L	N	E	J	564.59	3	true	
I1LNEK	I	1	L	N	E	K	3094.44	3	true	
I1LNEO	I	1	L	N	E	O	182.16	6	true	
I1LNFF	I	1	L	N	F	F	159.29	1	true	
I1LNFH	I	1	L	N	F	H	328.59	3	true	
I1LNFI	I	1	L	N	F	I	541.53	3	true	
I1LNFJ	I	1	L	N	F	J	1016.64	3	true	
I1LNFK	I	1	L	N	F	K	3603.83	3	true	
I1LNFL	I	1	L	N	F	L	208.39	6	true	
I1LNFM	I	1	L	N	F	M	579.76	6	true	
I1LNFN	I	1	L	N	F	N	3489.96	6	true	
I1LNFO	I	1	L	N	F	O	9339.06	6	true	
I1LNFR	I	1	L	N	F	R	174.77	10	true	
I1LNGF	I	1	L	N	G	F	185.78	1	true	
I1LNGG	I	1	L	N	G	G	637.63	1	true	
I1LNGJ	I	1	L	N	G	J	1439.81	3	true	
I1LNGK	I	1	L	N	G	K	8264.99	3	true	
I1LNGO	I	1	L	N	G	O	1066.13	6	true	
I1LNHF	I	1	L	N	H	F	357.49	1	true	
I1LNHH	I	1	L	N	H	H	314.68	3	true	
I1LNHI	I	1	L	N	H	I	375.96	3	true	
I1LNHJ	I	1	L	N	H	J	410.74	3	true	
I1LNHK	I	1	L	N	H	K	2195.94	3	true	
I1LNHM	I	1	L	N	H	M	516.49	6	true	
I1LNHN	I	1	L	N	H	N	1963.37	6	true	
I1LNHO	I	1	L	N	H	O	4448.48	6	true	
I1LNHR	I	1	L	N	H	R	285.79	10	true	
I1LNHS	I	1	L	N	H	S	896.96	10	true	
I1LNIF	I	1	L	N	I	F	787.68	1	true	
I1LNIH	I	1	L	N	I	H	627.37	3	true	
I1LNII	I	1	L	N	I	I	928.86	3	true	
I1LNIJ	I	1	L	N	I	J	3611.72	3	true	
I1LNIK	I	1	L	N	I	K	18386.8	3	true	
I1LNIM	I	1	L	N	I	M	529.31	6	true	
I1LNIN	I	1	L	N	I	N	3173.53	6	true	
I1LNIO	I	1	L	N	I	O	10999.3	6	true	
I1ONCF	I	1	O	N	C	F	883.81	1	true	
I1ONCH	I	1	O	N	C	H	1085.72	3	true	
I1ONCI	I	1	O	N	C	I	499.24	3	true	
I1ONCL	I	1	O	N	C	L	1325.7	6	true	
I1ONCM	I	1	O	N	C	M	1129.34	6	true	
I1ONCN	I	1	O	N	C	N	682.52	6	true	
I1ONDF	I	1	O	N	D	F	4721.14	1	true	
I1ONDH	I	1	O	N	D	H	588.78	3	true	
I1ONDI	I	1	O	N	D	I	807.22	3	true	
I1ONDJ	I	1	O	N	D	J	1594.61	3	true	
I1ONDK	I	1	O	N	D	K	6149.05	3	true	
I1ONDL	I	1	O	N	D	L	916.95	6	true	
I1ONDM	I	1	O	N	D	M	1963.47	6	true	
I1ONDN	I	1	O	N	D	N	5871.94	6	true	
I1ONDO	I	1	O	N	D	O	9958.25	6	true	
I1ONDR	I	1	O	N	D	R	468.86	10	true	
I1ONDS	I	1	O	N	D	S	288.28	10	true	
I1ONEF	I	1	O	N	E	F	713.61	1	true	
I1ONEG	I	1	O	N	E	G	1023.15	1	true	
I1ONEJ	I	1	O	N	E	J	927.2	3	true	
I1ONEK	I	1	O	N	E	K	6008.39	3	true	
I1ONEO	I	1	O	N	E	O	217.51	6	true	
I1ONFJ	I	1	O	N	F	J	370.56	3	true	
I1ONFK	I	1	O	N	F	K	1422.83	3	true	
I1ONFN	I	1	O	N	F	N	841.9	6	true	
I1ONFO	I	1	O	N	F	O	1585.7	6	true	
I1ONGF	I	1	O	N	G	F	323.22	1	true	
I1ONGG	I	1	O	N	G	G	891.92	1	true	
I1ONGJ	I	1	O	N	G	J	284.84	3	true	
I1ONGK	I	1	O	N	G	K	2211.53	3	true	
I1ONHF	I	1	O	N	H	F	1165.64	1	true	
I1ONHH	I	1	O	N	H	H	1305.5	3	true	
I1ONHI	I	1	O	N	H	I	424.72	3	true	
I1ONHJ	I	1	O	N	H	J	711.06	3	true	
I1ONHK	I	1	O	N	H	K	2061.55	3	true	
I1ONHL	I	1	O	N	H	L	202.84	6	true	
I1ONHM	I	1	O	N	H	M	642.9	6	true	
I1ONHN	I	1	O	N	H	N	1371.06	6	true	
