Index	Slack	Dual
741135	-0.0	0.0
741146	-0.0	0.0
741151	-0.0	0.0
741161	-0.0	0.0
741165	-0.0	0.0
741173	-0.0	0.0
741182	-0.0	0.0
741192	0.0	0.0
741199	-0.0	0.0
741206	-0.0	0.0
741211	-0.0	0.0
741225	0.0	0.0
741231	-0.0	0.0
741237	-0.0	0.0
741243	-0.0	0.0
741251	0.0	0.0
741262	-0.0	0.0
741272	0.0	0.0
741277	-0.0	0.0
742685	-0.0	0.0
742697	-0.0	0.0
742704	-0.0	0.0
742708	-0.0	0.0
742715	0.0	0.0
742726	-0.0	0.0
742732	-0.0	0.0
742742	-0.0	0.0
742751	-0.0	0.0
742759	-0.0	0.0
742764	0.0	0.0
742771	0.0	0.0
742784	-0.0	0.0
742790	-0.0	0.0
742800	-0.0	0.0
742807	-0.0	0.0
742815	-0.0	0.0
742832	-0.0	0.0
742839	-0.0	0.0
742844	-0.0	0.0
742854	-0.0	0.0
742859	0.0	0.0
742869	-0.0	0.0
742877	-0.0	0.0
744457	0.0	0.0
744461	-0.0	0.0
744470	-0.0	0.0
744480	-0.0	0.0
745883	-0.0	0.0
745898	-0.0	0.0
745905	-0.0	0.0
745913	-0.0	0.0
745917	-0.0	0.0
745924	0.0	0.0
745931	0.0	0.0
745943	-0.0	0.0
745951	-0.0	0.0
745955	-0.0	0.0
745967	-0.0	0.0
745976	0.0	0.0
745985	-0.0	0.0
745993	-0.0	0.0
746002	-0.0	0.0
746010	-0.0	0.0
746014	-0.0	0.0
746021	-0.0	0.0
746029	-0.0	0.0
746040	0.0	0.0
746047	-0.0	0.0
746054	-0.0	0.0
746061	-0.0	0.0
746074	-0.0	0.0
746079	-0.0	0.0
747637	-0.0	0.0
747649	0.0	0.0
747652	-0.0	0.0
747663	-0.0	0.0
747669	-0.0	0.0
747677	-0.0	0.0
747828	0.0	0.0
749252	0.0	0.0
749264	-0.0	0.0
749274	-0.0	0.0
749276	-0.0	0.0
750686	0.0	0.0
750691	-0.0	0.0
750702	-0.0	0.0
750710	-0.0	0.0
750729	-0.0	0.0
750737	-0.0	0.0
750743	-0.0	0.0
750751	-0.0	0.0
750757	-0.0	0.0
750769	-0.0	0.0
750774	-0.0	0.0
750779	-0.0	0.0
750791	-0.0	0.0
750797	-0.0	0.0
750803	0.0	0.0
750814	-0.0	0.0
750825	0.0	0.0
750832	0.0	0.0
750840	0.0	0.0
750849	0.0	0.0
750855	-0.0	0.0
750862	-0.0	0.0
750878	-0.0	0.0
752463	0.0	0.0
752471	-0.0	0.0
752482	-0.0	0.0
753889	-0.0	0.0
753899	-0.0	0.0
753910	-0.0	0.0
753916	-0.0	0.0
753924	-0.0	0.0
753934	-0.0	0.0
753942	-0.0	0.0
753954	-0.0	0.0
753957	-0.0	0.0
753966	-0.0	0.0
753971	0.0	0.0
753985	-0.0	0.0
