bc_id	bc_description	bc_type	bc_multiplier	lowerbound	lowerbound_perunit_penalty	upperbound	upperbound_perunit_penalty	parameter_index	static_identifiers	dynamic_identifiers	original_dynamic_identifiers	
71	cuft harv 6 - time period 20	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 G l C s;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 20	NoIdentifier	NoIdentifier	
72	CustBF 1 - time period 16	FREE	1.0	null	null	null	null	19 	0 B A;1 N;2 C s;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 16	NoIdentifier	NoIdentifier	
73	CustBF 2 - time period 17	FREE	1.0	null	null	null	null	19 	0 B A;1 N;2 C s;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 17	NoIdentifier	NoIdentifier	
74	CustBF 3 - time period 18	FREE	1.0	null	null	null	null	19 	0 B A;1 N;2 C s;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 18	NoIdentifier	NoIdentifier	
75	CustBF 4 - time period 19	FREE	1.0	null	null	null	null	19 	0 B A;1 N;2 C s;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 19	NoIdentifier	NoIdentifier	
76	CustBF 5 - time period 20	FREE	1.0	null	null	null	null	19 	0 B A;1 N;2 C s;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 20	NoIdentifier	NoIdentifier	
77	GallBF 1 - time period 16	FREE	1.0	null	null	null	null	19 	0 B A;1 N;2 G l;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 16	NoIdentifier	NoIdentifier	
78	GallBF 2 - time period 17	FREE	1.0	null	null	null	null	19 	0 B A;1 N;2 G l;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 17	NoIdentifier	NoIdentifier	
79	GallBF 3 - time period 18	FREE	1.0	null	null	null	null	19 	0 B A;1 N;2 G l;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 18	NoIdentifier	NoIdentifier	
80	GallBF 4 - time period 19	FREE	1.0	null	null	null	null	19 	0 B A;1 N;2 G l;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 19	NoIdentifier	NoIdentifier	
81	GallBF 5 - time period 20	FREE	1.0	null	null	null	null	19 	0 B A;1 N;2 G l;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 20	NoIdentifier	NoIdentifier	
82	Max Timber Per 15	SOFT	1.0	9.99999999E8	1.0	null	null	19 	0 B A;1 N;2 G l C s;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 15	NoIdentifier	NoIdentifier	
