action_list	layer_id	attribute_id	adjusted_percentage	
gp-ct-ub	layer4	U	0.0	
msf	layer4	U	0.0	
na	layer4	U	0.0	
no-action	layer4	U	0.0	
pct	layer4	U	0.0	
sc	layer4	U	0.0	
sc-bb	layer4	U	0.0	
ub	layer4	U	0.0	
bb	layer4	G	0.0	
bs	layer4	G	0.0	
cs	layer4	G	0.0	
cs-bb	layer4	G	0.0	
ct	layer4	G	0.0	
ct-bb	layer4	G	0.0	
ct-ub	layer4	G	0.0	
gp-ct-ub	layer4	G	0.0	
msf	layer4	G	0.0	
na	layer4	G	0.0	
no-action	layer4	G	0.0	
pct	layer4	G	0.0	
sc	layer4	G	0.0	
sc-bb	layer4	G	0.0	
ub	layer4	G	0.0	
bb	layer4	O	0.0	
bs	layer4	O	0.0	
cs	layer4	O	0.0	
cs-bb	layer4	O	0.0	
ct	layer4	O	0.0	
ct-bb	layer4	O	0.0	
ct-ub	layer4	O	0.0	
gp-ct-ub	layer4	O	0.0	
msf	layer4	O	0.0	
na	layer4	O	0.0	
no-action	layer4	O	0.0	
pct	layer4	O	0.0	
sc	layer4	O	0.0	
sc-bb	layer4	O	0.0	
ub	layer4	O	0.0	
bb	layer5	B	0.0	
bs	layer5	B	0.0	
cs	layer5	B	0.0	
cs-bb	layer5	B	0.0	
ct	layer5	B	0.0	
ct-bb	layer5	B	0.0	
ct-ub	layer5	B	0.0	
gp-ct-ub	layer5	B	0.0	
msf	layer5	B	0.0	
na	layer5	B	0.0	
no-action	layer5	B	0.0	
pct	layer5	B	0.0	
sc	layer5	B	0.0	
sc-bb	layer5	B	0.0	
ub	layer5	B	0.0	
bb	layer5	C	0.0	
bs	layer5	C	0.0	
cs	layer5	C	0.0	
cs-bb	layer5	C	0.0	
ct	layer5	C	0.0	
ct-bb	layer5	C	0.0	
ct-ub	layer5	C	0.0	
gp-ct-ub	layer5	C	0.0	
msf	layer5	C	0.0	
na	layer5	C	0.0	
no-action	layer5	C	0.0	
pct	layer5	C	0.0	
sc	layer5	C	0.0	
sc-bb	layer5	C	0.0	
ub	layer5	C	0.0	
bb	layer5	D	0.0	
bs	layer5	D	0.0	
cs	layer5	D	0.0	
cs-bb	layer5	D	0.0	
ct	layer5	D	0.0	
ct-bb	layer5	D	0.0	
ct-ub	layer5	D	0.0	
gp-ct-ub	layer5	D	0.0	
msf	layer5	D	0.0	
na	layer5	D	0.0	
no-action	layer5	D	0.0	
pct	layer5	D	0.0	
sc	layer5	D	0.0	
sc-bb	layer5	D	0.0	
ub	layer5	D	0.0	
bb	layer5	E	0.0	
bs	layer5	E	0.0	
cs	layer5	E	0.0	
cs-bb	layer5	E	0.0	
ct	layer5	E	0.0	
ct-bb	layer5	E	0.0	
ct-ub	layer5	E	0.0	
gp-ct-ub	layer5	E	0.0	
msf	layer5	E	0.0	
na	layer5	E	0.0	
no-action	layer5	E	0.0	
pct	layer5	E	0.0	
sc	layer5	E	0.0	
sc-bb	layer5	E	0.0	
ub	layer5	E	0.0	
bb	layer5	F	0.0	
bs	layer5	F	0.0	
cs	layer5	F	0.0	
cs-bb	layer5	F	0.0	
ct	layer5	F	0.0	
ct-bb	layer5	F	0.0	
ct-ub	layer5	F	0.0	
gp-ct-ub	layer5	F	0.0	
msf	layer5	F	0.0	
na	layer5	F	0.0	
no-action	layer5	F	0.0	
pct	layer5	F	0.0	
sc	layer5	F	0.0	
sc-bb	layer5	F	0.0	
ub	layer5	F	0.0	
bb	layer5	G	0.0	
bs	layer5	G	0.0	
cs	layer5	G	0.0	
cs-bb	layer5	G	0.0	
ct	layer5	G	0.0	
ct-bb	layer5	G	0.0	
ct-ub	layer5	G	0.0	
gp-ct-ub	layer5	G	0.0	
msf	layer5	G	0.0	
na	layer5	G	0.0	
no-action	layer5	G	0.0	
pct	layer5	G	0.0	
sc	layer5	G	0.0	
sc-bb	layer5	G	0.0	
ub	layer5	G	0.0	
bb	layer5	H	0.0	
bs	layer5	H	0.0	
cs	layer5	H	0.0	
cs-bb	layer5	H	0.0	
ct	layer5	H	0.0	
ct-bb	layer5	H	0.0	
ct-ub	layer5	H	0.0	
gp-ct-ub	layer5	H	0.0	
msf	layer5	H	0.0	
na	layer5	H	0.0	
no-action	layer5	H	0.0	
pct	layer5	H	0.0	
sc	layer5	H	0.0	
sc-bb	layer5	H	0.0	
ub	layer5	H	0.0	
bb	layer5	I	0.0	
bs	layer5	I	0.0	
cs	layer5	I	0.0	
cs-bb	layer5	I	0.0	
ct	layer5	I	0.0	
ct-bb	layer5	I	0.0	
ct-ub	layer5	I	0.0	
gp-ct-ub	layer5	I	0.0	
msf	layer5	I	0.0	
na	layer5	I	0.0	
no-action	layer5	I	0.0	
pct	layer5	I	0.0	
sc	layer5	I	0.0	
sc-bb	layer5	I	0.0	
ub	layer5	I	0.0	
